Station Name,From,FT,To,TT,PM10(ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),RF(mm),NOx(ppb),NO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter,Latitude,Longitude
"Anand Vihar, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
"Anand Vihar, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,108.0,28.0,36.67,972.93,356.05,63.38,85.75,0.0,29.95,30.82,1.4,28.8,1,0,0,0,28.647622,77.315809
