Station Name,From,FT,To,TT,PM10(ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),RF(mm),NOx(ppb),NO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter,Latitude,Longitude
"Bawana, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,114.5,46.75,28.52,976.25,5.6,81.3,341.4,0.0,27.67,10.93,1.4,19.65,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,132.75,64.25,28.32,975.88,5.6,83.1,225.72,0.0,24.73,9.7,1.3,51.65,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,115.5,60.75,28.32,975.65,5.6,83.35,252.62,0.0,32.8,8.6,1.3,12.82,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,131.25,78.25,28.33,975.4,5.57,83.8,262.18,0.0,27.92,8.9,1.37,8.4,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,130.0,84.25,28.25,975.38,5.6,83.92,233.28,0.12,17.52,7.83,1.23,7.6,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,87.25,62.0,27.4,975.53,6.12,84.85,273.45,1.0,8.1,4.42,1.03,2.47,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,31.0,29.0,25.7,976.67,7.1,84.03,174.55,1.5,4.25,2.32,0.88,2.1,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,31.0,29.0,25.18,977.45,8.3,85.08,149.47,1.25,4.15,2.67,0.9,7.0,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,31.0,29.0,25.27,977.38,15.32,85.12,109.75,0.0,6.83,4.42,0.9,11.2,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,18.0,11.0,25.62,976.82,73.0,84.88,114.6,0.0,7.0,4.12,0.83,13.2,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,18.0,11.0,27.33,976.7,200.8,81.55,175.57,1.25,9.38,4.97,0.88,11.73,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,18.0,11.0,30.17,976.43,426.9,71.72,279.68,0.0,11.15,5.88,0.82,8.95,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,22.0,17.0,30.28,975.83,289.02,68.38,330.35,0.0,5.72,3.0,0.7,6.75,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,22.5,17.75,30.32,975.3,205.1,68.38,327.9,0.0,4.62,2.68,0.8,5.23,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,28.5,20.0,29.67,974.65,199.25,71.12,179.85,0.0,4.75,3.15,0.8,9.93,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,46.0,20.0,30.95,974.02,244.83,67.7,243.93,0.0,5.08,3.25,0.65,16.73,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,60.75,23.75,32.23,973.55,261.32,63.22,219.1,0.0,7.22,5.3,0.73,20.02,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,67.25,34.75,32.12,973.42,140.75,63.8,230.1,0.0,7.2,5.5,0.7,29.2,1,0,0,0,28.7762,77.051074
"Bawana, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,52.0,29.0,31.15,974.05,74.55,64.75,311.43,0.0,4.38,3.32,0.6,16.05,1,0,0,0,28.7762,77.051074
