Station Name,From,FT,To,TT,PM10(ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),RF(mm),NOx(ppb),NO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter,Latitude,Longitude
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,114.75,32.5,31.42,972.3,5.2,85.62,173.83,0.0,33.65,36.73,1.27,15.98,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,75.75,22.25,31.25,971.88,5.22,86.32,304.48,0.0,30.82,36.2,1.27,35.0,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,71.0,23.5,31.22,971.8,5.2,86.95,231.85,0.0,30.82,36.2,1.27,7.17,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,80.25,26.5,31.35,971.45,5.22,86.9,280.6,0.0,44.12,36.83,1.42,7.15,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,88.25,30.25,31.3,971.27,5.2,85.35,277.77,0.0,48.77,42.4,1.2,7.45,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,74.0,27.0,31.12,971.7,5.22,83.1,249.2,0.0,38.83,40.97,0.83,23.75,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,47.0,24.0,29.12,972.9,5.75,87.2,153.43,2.3,20.25,22.3,0.4,22.15,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,5.0,1.0,29.15,973.22,7.05,88.73,178.38,0.38,21.95,26.68,0.47,24.65,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,4.5,1.0,29.4,973.1,12.02,88.83,199.0,0.45,26.43,33.33,0.58,14.7,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,5.0,2.0,29.8,972.77,37.85,88.8,97.17,0.2,34.65,41.0,0.77,8.68,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,12.25,2.75,30.25,972.45,111.97,88.38,252.0,0.07,37.15,41.55,0.93,11.6,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,19.5,6.0,31.15,972.42,217.72,85.92,270.65,0.0,42.45,46.27,1.1,15.52,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,28.5,9.5,33.22,971.83,285.95,75.47,274.52,0.0,39.65,44.62,1.08,20.9,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,26.5,10.0,34.3,971.18,289.93,69.53,268.73,0.0,36.52,45.25,1.05,34.22,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,31.25,6.75,34.88,970.47,328.23,63.85,272.85,0.0,29.6,36.88,0.8,31.4,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,21.75,6.0,34.88,969.85,158.6,62.42,219.65,0.0,23.47,30.43,0.6,41.23,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,19.5,5.75,34.55,969.6,115.27,64.22,224.22,0.0,25.2,33.38,0.67,47.73,1,0,0,0,28.498571,77.26484
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,27.0,5.75,34.15,969.33,69.45,68.77,249.62,0.0,28.1,39.42,0.9,51.8,1,0,0,0,28.498571,77.26484
