Station Name,From,FT,To,TT,PM10(ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),RF(mm),NOx(ppb),NO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter,Latitude,Longitude
"Dwarka-Sector 8, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,167.0,34.0,28.65,973.45,5.28,73.42,237.9,0.0,58.05,20.48,1.02,3.47,1,0,0,0,28.5710274,77.0719006
"Dwarka-Sector 8, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,157.0,45.5,28.18,973.0,5.27,74.0,267.35,0.0,35.62,19.62,0.65,4.6,1,0,0,0,28.5710274,77.0719006
"Dwarka-Sector 8, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,122.75,67.0,27.88,972.88,5.25,75.55,258.73,0.0,28.5,18.1,0.5,3.57,1,0,0,0,28.5710274,77.0719006
"Dwarka-Sector 8, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,54.5,26.0,27.7,972.57,5.8,76.17,260.25,0.0,26.93,16.3,0.5,3.12,1,0,0,0,28.5710274,77.0719006
"Dwarka-Sector 8, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,52.25,22.75,27.68,972.42,5.9,76.32,257.48,0.0,23.87,15.45,0.5,3.2,1,0,0,0,28.5710274,77.0719006
"Dwarka-Sector 8, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,71.0,31.75,27.32,973.0,5.38,77.78,190.75,4.12,30.45,16.02,0.57,3.5,1,0,0,0,28.5710274,77.0719006
"Dwarka-Sector 8, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,82.25,27.25,24.98,974.57,7.15,82.62,67.85,3.38,7.83,8.38,0.3,7.85,1,0,0,0,28.5710274,77.0719006
"Dwarka-Sector 8, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,7.5,6.5,24.78,974.95,9.8,83.12,91.23,0.12,12.95,12.07,0.3,8.12,1,0,0,0,28.5710274,77.0719006
"Dwarka-Sector 8, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,6.0,4.33,24.7,974.73,14.57,83.2,22.7,0.25,13.28,12.8,0.3,7.2,1,0,0,0,28.5710274,77.0719006
"Dwarka-Sector 8, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,6.0,3.0,24.65,974.1,70.03,82.97,239.98,0.12,34.32,17.33,0.6,5.05,1,0,0,0,28.5710274,77.0719006
