Station Name,From,FT,To,TT,PM10(ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),RF(mm),NOx(ppb),NO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter,Latitude,Longitude
"Najafgarh, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,29.0,14.0,28.53,976.08,3.22,77.92,286.83,0.0,15.67,9.85,0.85,1.53,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,31.0,28.0,27.98,975.55,3.08,77.92,165.9,0.0,10.07,7.45,0.7,2.6,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,20.0,13.0,27.52,975.45,3.28,78.6,281.7,0.0,9.3,6.8,0.7,1.98,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,23.0,14.0,27.28,975.2,3.25,79.15,228.9,0.0,9.65,6.55,0.7,1.52,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,28.0,8.0,27.4,975.17,3.05,78.95,166.2,0.0,10.5,6.72,0.7,1.15,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,35.0,17.0,27.43,975.45,3.4,77.42,21.38,0.0,10.05,6.62,0.67,3.38,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,23.0,12.0,26.2,976.58,4.43,78.12,108.98,5.62,6.5,4.25,0.6,8.23,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,8.0,6.0,24.85,977.17,6.22,83.33,161.2,0.62,5.95,4.15,0.58,8.72,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,6.0,1.0,24.95,977.1,13.58,83.83,145.88,0.25,7.2,5.28,0.63,5.65,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,5.0,1.0,25.62,976.8,70.05,83.53,222.8,0.12,10.6,7.8,0.62,3.25,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,5.0,2.0,26.32,976.62,122.55,78.67,306.17,0.12,9.85,7.55,0.6,4.55,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,5.0,3.0,28.25,976.3,251.82,72.72,269.65,0.0,7.45,5.33,0.6,6.1,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,5.0,3.0,31.25,975.65,459.9,61.55,17.32,0.0,6.5,4.6,0.53,10.7,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,5.0,3.0,31.58,974.92,247.62,59.1,92.85,0.0,5.75,3.93,0.5,12.68,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,12.0,3.5,30.62,974.37,223.0,62.75,40.35,0.0,5.5,3.65,0.55,15.57,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,11.0,5.0,30.3,973.85,144.95,64.47,53.7,0.0,6.22,3.92,0.62,21.12,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,39.0,23.0,30.5,973.58,108.28,65.03,78.08,0.0,7.15,5.0,0.65,23.23,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,44.0,25.5,31.38,973.1,93.07,59.38,229.25,0.0,6.6,4.7,0.6,20.73,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,19.0,12.0,31.03,973.58,40.1,60.33,161.85,0.0,5.62,3.97,0.6,19.25,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,19:00,01-Aug-2021,20:00,14.0,11.0,29.85,974.18,4.2,67.78,23.12,0.0,6.15,4.45,0.65,16.38,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,20:00,01-Aug-2021,21:00,25.0,16.75,28.95,974.85,3.55,71.97,71.8,0.0,6.92,4.85,0.67,12.32,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,21:00,01-Aug-2021,22:00,31.0,16.0,28.52,975.28,3.33,76.75,174.65,0.0,7.6,5.8,0.8,6.45,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,22:00,01-Aug-2021,23:00,42.0,30.5,28.32,975.5,3.4,77.8,138.85,0.0,14.65,10.32,0.92,2.3,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",01-Aug-2021,23:00,02-Aug-2021,00:00,55.0,32.75,27.77,975.48,3.35,78.42,144.72,0.0,14.1,10.65,1.0,2.27,1,0,0,0,28.570173,76.933762
"Najafgarh, Delhi - DPCC",02-Aug-2021,00:00,02-Aug-2021,01:00,69.0,44.0,27.62,975.15,3.58,78.15,69.62,0.0,21.2,14.35,1.32,2.38,1,0,0,0,28.570173,76.933762
