Station Name,From,FT,To,TT,PM10(ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),RF(mm),NOx(ppb),NO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter,Latitude,Longitude
"Narela, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,152.25,44.25,28.15,975.17,12.62,88.3,111.2,0.0,48.55,43.5,1.78,45.9,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,166.75,47.0,28.23,974.55,12.25,87.6,169.18,0.0,55.47,35.8,1.93,69.9,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,218.0,59.75,28.2,974.25,12.3,89.28,210.03,0.0,53.2,32.5,1.93,58.97,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,204.75,53.5,28.15,973.88,12.3,89.88,225.62,0.0,44.2,28.6,1.55,54.55,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,156.5,57.75,28.1,973.8,12.58,90.0,238.9,0.0,40.8,28.6,1.52,53.82,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,157.75,70.75,27.7,973.83,12.85,89.65,254.05,0.0,30.07,31.38,1.43,43.47,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,125.25,64.0,26.03,975.38,15.45,84.28,129.72,0.0,32.57,27.25,1.1,13.55,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,26.5,1.0,25.15,976.3,8.35,90.55,88.47,4.12,28.72,25.95,1.08,18.38,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,13.75,1.0,24.85,976.33,6.88,91.95,90.28,1.62,10.35,15.05,1.03,19.48,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,9.5,2.5,25.32,975.57,54.1,91.95,128.35,0.62,21.42,21.25,1.27,22.35,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,17.25,7.5,26.38,975.33,134.65,89.7,162.78,0.12,31.12,24.65,1.27,28.77,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,24.75,11.5,27.67,974.73,231.18,80.8,264.75,0.0,13.83,18.62,1.22,41.02,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,40.75,15.75,28.2,974.08,176.43,78.53,274.65,0.0,9.6,12.07,1.22,34.48,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,29.5,7.25,29.12,973.6,154.43,77.0,289.33,0.0,10.47,13.25,1.2,33.08,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,43.75,12.25,29.45,972.88,165.03,76.3,316.8,0.0,13.07,18.77,1.33,35.22,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,72.75,17.75,30.95,972.33,295.25,71.68,259.38,0.0,13.8,19.17,1.1,39.07,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,64.0,18.75,33.7,972.22,337.02,61.95,158.47,0.0,10.9,13.6,1.18,40.4,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,91.0,16.5,34.4,972.08,210.5,61.42,158.18,0.0,18.45,23.4,1.15,42.27,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,218.25,45.75,31.77,972.6,69.9,68.45,101.75,0.0,11.57,18.05,1.18,64.03,1,0,0,0,28.822836,77.101981
"Narela, Delhi - DPCC",01-Aug-2021,19:00,01-Aug-2021,20:00,126.0,34.25,29.45,973.3,13.5,80.22,130.38,0.0,28.8,44.62,1.42,43.78,1,0,0,0,28.822836,77.101981
