Station Name,From,FT,To,TT,PM10(ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),RF(mm),NOx(ppb),NO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter,Latitude,Longitude
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,140.0,64.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.0,1.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,140.0,64.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.0,1.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,140.0,64.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.0,1.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,140.0,64.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.0,1.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,140.0,64.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.0,1.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,140.0,64.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.0,1.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,140.0,64.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.0,1.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,140.0,64.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.0,1.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,140.0,64.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.0,1.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,140.0,64.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.0,1.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,140.0,64.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.0,1.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,140.0,64.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.0,1.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,140.0,64.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.0,1.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,140.0,16.0,35.0,971.7,456.3,69.8,281.4,0.0,35.45,48.2,0.5,28.9,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,140.0,16.5,35.0,971.7,456.3,69.8,281.4,0.0,21.0,30.5,0.25,32.2,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,140.0,17.5,35.0,971.7,456.3,69.8,281.4,0.0,21.0,30.5,0.35,58.48,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,55.0,20.75,35.0,971.7,456.3,69.8,281.4,0.0,21.0,30.5,0.4,97.65,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,53.25,33.0,35.0,971.7,456.3,69.8,281.4,0.0,19.1,32.9,0.4,77.75,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,49.0,28.5,35.0,971.7,456.3,69.8,281.4,0.0,19.1,32.9,0.2,55.12,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,19:00,01-Aug-2021,20:00,62.5,40.0,30.05,971.95,14.45,90.1,183.6,0.0,36.57,64.92,1.73,30.2,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,20:00,01-Aug-2021,21:00,97.5,61.0,29.8,972.38,14.12,90.9,194.0,0.0,57.75,94.93,2.43,14.65,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,21:00,01-Aug-2021,22:00,111.25,60.25,29.62,973.08,15.65,90.83,123.95,0.0,110.78,90.1,3.32,22.28,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,22:00,01-Aug-2021,23:00,129.5,60.5,30.1,973.38,15.8,91.0,77.6,0.0,129.03,108.35,3.9,40.38,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",01-Aug-2021,23:00,02-Aug-2021,00:00,154.25,72.25,29.62,972.83,14.43,92.88,171.55,0.0,111.4,97.42,3.2,133.97,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,00:00,02-Aug-2021,01:00,145.0,86.0,29.2,972.17,11.45,95.4,292.3,0.0,76.9,74.5,2.8,116.18,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,01:00,02-Aug-2021,02:00,122.25,85.25,28.95,972.0,11.6,97.47,120.22,0.0,87.02,65.97,2.85,116.18,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,02:00,02-Aug-2021,03:00,116.75,74.25,29.12,971.7,10.15,98.75,85.72,0.0,121.53,55.38,2.95,173.2,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,03:00,02-Aug-2021,04:00,120.75,76.0,29.38,971.62,8.7,98.8,188.68,0.0,122.3,48.95,3.12,173.18,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,04:00,02-Aug-2021,05:00,135.25,77.75,29.5,972.0,8.92,96.42,134.28,0.0,86.72,45.38,2.35,109.9,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,05:00,02-Aug-2021,06:00,128.75,72.25,29.45,972.35,9.1,94.4,183.88,0.0,67.3,39.08,2.08,152.6,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,06:00,02-Aug-2021,07:00,100.5,60.5,29.58,973.17,14.65,91.8,102.7,0.0,51.95,34.17,1.35,89.53,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,07:00,02-Aug-2021,08:00,71.0,35.0,29.62,973.75,50.62,92.53,116.03,0.0,60.3,37.3,1.27,10.03,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,08:00,02-Aug-2021,09:00,38.0,18.5,30.55,974.4,83.25,87.25,122.9,0.0,40.77,37.65,1.02,6.62,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,09:00,02-Aug-2021,10:00,33.5,24.5,31.23,974.6,141.57,82.72,191.45,0.0,35.1,42.02,0.98,11.25,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,10:00,02-Aug-2021,11:00,46.5,30.5,32.62,974.65,225.5,76.47,324.5,0.0,32.45,47.8,1.0,17.8,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,11:00,02-Aug-2021,12:00,45.0,35.0,33.75,974.5,310.55,72.02,318.52,0.0,32.6,51.92,1.38,65.53,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,12:00,02-Aug-2021,13:00,56.75,37.5,35.1,973.92,502.02,67.5,316.17,0.0,22.6,37.23,1.23,63.5,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,13:00,02-Aug-2021,14:00,82.25,42.0,34.58,973.28,281.92,69.7,327.62,0.0,20.88,34.1,1.05,38.05,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,14:00,02-Aug-2021,15:00,50.0,31.0,33.28,972.5,200.88,79.3,225.45,0.12,16.7,26.07,1.08,39.0,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,15:00,02-Aug-2021,16:00,42.0,24.5,33.55,972.15,137.43,75.42,224.63,0.0,15.82,23.0,1.02,27.38,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,16:00,02-Aug-2021,17:00,47.75,26.25,32.1,971.73,81.38,85.78,270.38,0.0,19.32,27.93,1.4,29.7,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,17:00,02-Aug-2021,18:00,53.25,33.0,32.83,971.75,99.55,76.85,297.2,0.0,19.38,27.05,1.2,44.7,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,18:00,02-Aug-2021,19:00,46.5,26.5,31.27,972.08,28.92,83.35,299.45,0.0,18.62,28.18,1.2,35.17,1,0,0,0,28.56789,77.250515
"Nehru Nagar, Delhi - DPCC",02-Aug-2021,19:00,02-Aug-2021,20:00,57.0,36.5,30.47,972.63,14.1,88.47,297.48,0.0,25.8,39.65,1.2,7.47,1,0,0,0,28.56789,77.250515
