Station Name,From,FT,To,TT,PM10(ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),RF(mm),NOx(ppb),NO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter,Latitude,Longitude
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,267.0,50.5,28.62,974.8,4.0,76.57,71.78,0.0,75.35,25.5,1.8,9.43,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,180.5,51.5,28.48,974.38,4.07,77.7,71.85,0.0,92.22,28.95,1.88,13.8,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,176.75,52.0,28.6,974.3,4.0,78.28,71.9,0.0,86.8,18.7,1.9,9.33,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,199.25,54.75,28.55,973.9,4.0,78.0,252.93,0.0,84.23,22.33,1.75,7.2,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,135.5,41.5,28.6,973.75,4.0,76.4,313.23,0.0,60.7,24.12,1.05,5.82,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,74.5,28.0,28.25,974.15,4.0,73.25,283.8,0.0,33.77,24.05,0.68,17.12,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,31.75,19.0,25.15,975.55,4.43,79.73,186.4,2.25,19.65,13.5,0.4,16.45,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,8.0,2.0,24.95,975.95,4.92,81.7,182.22,1.5,17.5,17.38,0.4,14.0,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,11.25,3.25,25.15,975.7,7.52,81.92,114.45,1.0,16.8,19.27,0.47,10.0,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,12.5,7.25,25.48,975.42,21.15,81.75,275.65,0.25,19.12,22.12,0.5,7.8,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,16.25,9.25,25.98,975.1,59.55,80.92,342.4,0.12,20.17,22.12,0.6,7.93,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,29.75,15.25,27.05,975.03,113.75,77.95,276.3,0.0,28.52,27.7,0.77,8.6,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,49.25,22.0,28.68,974.4,142.05,71.62,285.07,0.0,25.95,28.8,0.85,10.38,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,46.25,19.25,30.52,973.8,181.4,65.78,277.82,0.0,20.77,25.95,0.77,14.07,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,44.5,11.0,32.7,973.0,331.48,57.15,232.95,0.0,12.93,17.15,0.55,23.4,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,50.25,10.5,33.1,972.38,309.55,58.08,177.2,0.0,12.0,17.95,0.6,28.33,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,60.25,12.25,34.67,972.17,380.95,54.88,205.78,0.0,11.7,18.45,0.6,35.38,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,56.0,24.0,32.0,971.9,66.05,61.95,227.5,0.0,10.93,18.93,0.65,46.12,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,75.0,32.5,30.4,972.42,17.67,69.6,181.93,0.0,15.38,26.73,0.97,42.78,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,19:00,01-Aug-2021,20:00,98.75,41.75,29.38,973.12,4.42,73.1,335.23,0.0,32.38,57.67,1.33,16.08,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,20:00,01-Aug-2021,21:00,114.25,52.5,28.92,973.67,4.0,74.93,337.83,0.0,31.38,54.35,1.88,16.77,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,21:00,01-Aug-2021,22:00,142.75,67.0,28.53,974.23,4.0,76.2,341.1,0.0,41.15,51.7,2.27,10.78,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,22:00,01-Aug-2021,23:00,164.25,67.25,28.52,974.32,4.03,77.83,341.28,0.0,42.1,58.62,2.45,34.4,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",01-Aug-2021,23:00,02-Aug-2021,00:00,174.5,88.25,28.23,974.1,4.0,78.65,341.18,0.0,45.88,51.2,2.5,61.4,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",02-Aug-2021,00:00,02-Aug-2021,01:00,199.75,99.5,27.92,973.73,4.03,79.53,336.95,0.0,50.9,53.45,2.07,60.2,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",02-Aug-2021,01:00,02-Aug-2021,02:00,209.0,107.75,28.02,973.35,4.0,79.0,340.78,0.0,65.8,51.85,2.17,64.6,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",02-Aug-2021,02:00,02-Aug-2021,03:00,187.75,91.5,28.0,973.05,4.0,79.5,341.2,0.0,59.8,39.7,2.17,60.03,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",02-Aug-2021,03:00,02-Aug-2021,04:00,191.25,89.0,28.05,973.02,4.0,79.67,341.27,0.0,63.33,42.15,2.17,63.1,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",02-Aug-2021,04:00,02-Aug-2021,05:00,166.5,85.25,28.15,973.23,4.0,77.73,128.8,0.0,50.45,37.27,2.17,57.4,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",02-Aug-2021,05:00,02-Aug-2021,06:00,127.5,76.5,28.13,973.7,4.25,77.38,238.05,0.0,33.25,31.15,2.17,31.4,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",02-Aug-2021,06:00,02-Aug-2021,07:00,89.75,48.5,28.1,974.28,10.15,75.15,118.87,0.0,20.02,19.07,2.17,14.9,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",02-Aug-2021,07:00,02-Aug-2021,08:00,40.25,22.25,28.08,974.9,31.98,76.95,155.45,0.0,14.4,16.68,2.17,12.0,1,0,0,0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",02-Aug-2021,08:00,02-Aug-2021,09:00,29.5,19.25,28.62,975.6,37.4,73.67,19.05,0.0,14.5,18.75,2.17,11.08,1,0,0,0,28.530785,77.271255
