Station Name,From,FT,To,TT,PM10(ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),RF(mm),NOx(ppb),NO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter,Latitude,Longitude
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,162.5,54.25,27.4,735.92,7.03,77.97,133.75,0.0,96.42,46.7,2.42,9.33,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,209.25,65.5,27.4,735.84,7.1,77.58,65.5,0.0,105.97,42.4,2.38,16.8,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,227.0,65.75,27.4,735.88,7.17,77.88,119.0,0.0,76.65,37.0,1.35,10.28,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,167.25,46.0,27.3,735.86,7.12,76.45,38.5,0.0,27.7,32.5,0.45,7.85,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,82.75,27.75,27.2,735.64,7.08,78.53,63.75,0.0,24.3,27.88,0.25,7.33,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,98.0,34.75,26.5,735.69,7.6,79.47,111.75,0.0,17.17,20.88,0.23,11.1,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,76.5,31.0,24.95,735.81,8.5,86.22,109.75,0.0,7.83,10.78,0.6,23.3,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,5.0,31.0,24.85,735.69,9.08,87.1,120.75,0.0,19.65,24.35,0.67,13.72,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,10.5,2.0,24.93,735.99,11.68,87.4,116.75,0.0,31.43,34.8,0.98,5.33,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,14.25,5.75,25.25,735.75,33.6,87.53,108.25,0.0,40.55,35.65,1.3,6.1,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,30.75,18.5,25.73,735.77,86.58,86.5,72.5,0.0,46.98,42.45,1.48,7.4,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,35.25,25.0,27.1,735.73,218.15,77.58,57.5,0.0,25.53,36.35,1.47,30.25,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,47.0,32.75,28.05,736.05,179.35,70.6,71.5,0.0,22.17,33.33,1.0,62.65,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,67.75,39.5,28.0,735.79,113.9,71.0,72.0,0.0,19.38,31.65,0.9,66.15,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,80.5,42.0,28.27,735.84,123.62,68.85,72.0,0.0,16.43,26.15,0.88,67.45,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,66.75,35.75,28.15,735.71,84.45,69.62,79.25,0.0,16.07,26.05,0.78,69.92,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,68.0,36.0,28.08,735.96,60.73,70.03,78.0,0.0,17.75,28.55,0.82,68.25,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,75.0,37.75,28.12,735.84,48.32,68.8,69.75,0.0,20.95,36.12,0.9,70.05,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,77.25,31.75,27.83,735.79,21.8,68.1,42.25,0.0,28.8,48.48,0.9,49.45,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,19:00,01-Aug-2021,20:00,83.0,30.25,27.42,736.05,7.6,72.77,149.75,0.0,48.3,68.17,1.25,15.07,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,20:00,01-Aug-2021,21:00,123.0,49.75,27.32,735.81,7.32,75.55,88.0,0.0,62.57,75.15,1.85,7.22,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,21:00,01-Aug-2021,22:00,156.75,60.0,27.23,735.81,7.33,76.98,131.75,0.0,54.95,63.5,1.9,5.23,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,22:00,01-Aug-2021,23:00,119.5,52.5,27.0,735.9,7.35,76.28,113.25,0.0,74.25,62.58,1.9,5.28,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",01-Aug-2021,23:00,02-Aug-2021,00:00,138.75,43.25,26.65,736.05,7.3,79.2,67.5,0.0,75.7,62.05,2.0,7.48,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,00:00,02-Aug-2021,01:00,148.0,56.0,26.5,735.98,7.3,80.78,153.75,0.0,80.15,59.33,2.3,9.12,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,01:00,02-Aug-2021,02:00,148.5,56.5,26.4,735.84,7.25,82.28,191.5,0.0,101.05,48.98,2.38,25.8,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,02:00,02-Aug-2021,03:00,143.25,58.25,26.5,735.75,7.28,81.12,180.25,0.0,110.7,54.75,2.25,18.43,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,03:00,02-Aug-2021,04:00,140.75,58.0,26.58,735.58,7.17,81.3,177.75,0.0,109.72,47.28,2.23,13.4,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,04:00,02-Aug-2021,05:00,127.75,61.5,26.77,735.75,7.15,79.57,159.5,0.0,120.3,43.92,2.47,49.8,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,05:00,02-Aug-2021,06:00,166.75,83.75,26.65,735.86,7.42,78.92,86.0,0.0,88.35,36.85,2.3,169.55,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,06:00,02-Aug-2021,07:00,152.0,93.25,26.63,735.64,12.15,81.1,104.25,0.0,100.0,34.98,2.0,122.72,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,07:00,02-Aug-2021,08:00,159.75,99.25,26.7,735.86,33.83,82.57,67.5,0.0,109.35,46.5,1.98,157.0,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,08:00,02-Aug-2021,09:00,160.25,96.25,27.1,735.67,64.4,79.55,101.75,0.0,67.17,50.58,1.3,90.45,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,09:00,02-Aug-2021,10:00,103.75,60.0,27.48,735.99,66.17,73.6,113.75,0.0,30.12,34.33,0.62,41.73,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,10:00,02-Aug-2021,11:00,61.0,38.75,28.02,735.71,109.1,68.28,125.5,0.0,26.08,35.23,0.45,50.58,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,11:00,02-Aug-2021,12:00,72.25,39.0,28.67,735.75,131.88,65.6,106.5,0.0,30.45,47.4,0.57,56.45,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,12:00,02-Aug-2021,13:00,77.75,41.0,30.05,735.96,183.92,59.78,121.75,0.0,22.45,32.7,0.65,67.88,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,13:00,02-Aug-2021,14:00,71.5,36.0,31.73,736.09,69.8,66.97,95.5,0.0,18.83,26.88,0.53,52.8,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,14:00,02-Aug-2021,15:00,54.25,27.0,29.87,735.71,55.5,81.73,73.25,0.0,23.07,32.95,0.65,23.9,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,15:00,02-Aug-2021,16:00,27.75,19.0,30.25,735.62,51.05,76.93,79.25,0.0,16.62,25.12,0.68,30.7,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,16:00,02-Aug-2021,17:00,34.5,20.5,30.07,735.75,34.33,78.78,66.25,0.0,36.48,42.47,0.9,13.65,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,17:00,02-Aug-2021,18:00,42.0,19.5,30.67,736.11,27.95,77.03,97.75,0.0,33.05,43.88,1.07,16.88,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,18:00,02-Aug-2021,19:00,77.75,28.75,30.4,735.86,16.5,75.85,122.25,0.0,43.55,45.72,1.05,7.4,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,19:00,02-Aug-2021,20:00,80.25,25.75,30.23,735.43,7.73,76.58,115.75,0.0,43.1,44.75,1.25,6.47,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,20:00,02-Aug-2021,21:00,88.75,31.25,30.15,736.11,7.5,78.28,123.5,0.0,58.72,44.1,1.5,5.2,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,21:00,02-Aug-2021,22:00,92.75,41.0,30.23,735.83,7.43,77.12,131.25,0.0,87.33,45.8,1.6,2.92,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,22:00,02-Aug-2021,23:00,114.5,41.25,30.28,735.99,7.38,77.18,142.0,0.0,58.12,41.83,1.25,4.2,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",02-Aug-2021,23:00,03-Aug-2021,00:00,112.0,43.5,30.12,735.64,7.35,79.18,170.5,0.0,65.78,41.25,1.27,4.7,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,00:00,03-Aug-2021,01:00,114.75,46.25,30.0,735.75,7.4,80.17,155.5,0.0,44.05,35.85,1.0,2.7,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,01:00,03-Aug-2021,02:00,103.0,44.75,30.0,735.77,7.4,80.85,138.5,0.0,34.62,33.45,0.8,12.1,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,02:00,03-Aug-2021,03:00,96.5,54.0,29.9,735.84,7.35,81.45,156.0,0.0,30.7,30.6,0.7,7.22,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,03:00,03-Aug-2021,04:00,88.25,45.0,29.8,735.92,7.33,81.25,153.5,0.0,23.57,28.15,0.62,4.9,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,04:00,03-Aug-2021,05:00,72.5,36.75,29.7,735.84,7.33,81.45,151.0,0.0,26.4,27.1,0.6,2.88,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,05:00,03-Aug-2021,06:00,80.25,37.5,29.62,735.75,7.93,81.88,141.5,0.0,30.75,28.7,0.57,2.6,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,06:00,03-Aug-2021,07:00,64.75,32.25,29.35,735.69,18.32,81.75,118.5,0.0,25.3,25.58,0.67,3.83,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,07:00,03-Aug-2021,08:00,72.75,33.0,30.12,735.86,53.47,78.12,132.0,0.0,24.95,26.25,0.78,7.13,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,08:00,03-Aug-2021,09:00,79.0,40.5,30.93,735.9,105.65,71.38,126.5,0.0,24.05,24.18,0.65,16.77,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,09:00,03-Aug-2021,10:00,72.0,36.75,32.08,735.81,120.42,64.38,136.0,0.0,24.05,29.05,0.72,29.55,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,10:00,03-Aug-2021,11:00,73.0,39.5,32.12,735.9,147.85,63.43,135.25,0.0,27.3,34.52,0.85,36.92,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,11:00,03-Aug-2021,12:00,82.0,37.5,33.4,735.67,243.88,55.9,130.5,0.0,22.15,27.1,0.73,43.75,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,12:00,03-Aug-2021,13:00,76.0,26.25,32.88,735.86,181.97,55.3,137.75,0.0,28.2,31.93,0.78,36.95,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,13:00,03-Aug-2021,14:00,79.0,22.0,33.58,735.75,111.05,54.25,136.75,0.0,26.48,29.75,0.77,40.45,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,14:00,03-Aug-2021,15:00,59.0,16.0,33.05,735.71,87.0,56.05,137.75,0.0,26.2,30.45,0.85,35.35,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,15:00,03-Aug-2021,16:00,49.25,16.0,31.95,735.92,55.6,55.8,137.0,0.0,24.85,30.98,0.8,45.45,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,16:00,03-Aug-2021,17:00,43.0,16.5,32.27,735.94,56.73,56.43,139.25,0.0,24.73,33.88,0.83,51.9,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,17:00,03-Aug-2021,18:00,61.5,20.5,31.85,735.86,33.9,58.12,140.75,0.0,41.67,47.88,1.0,28.58,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,18:00,03-Aug-2021,19:00,75.5,27.0,31.2,735.88,12.35,60.45,148.0,0.0,52.97,55.92,1.32,16.45,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,19:00,03-Aug-2021,20:00,87.25,23.0,30.6,735.68,7.22,62.85,134.5,0.0,45.48,53.92,1.25,9.25,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,20:00,03-Aug-2021,21:00,92.5,22.25,29.95,735.67,7.07,65.75,117.0,0.0,44.07,50.0,1.2,4.72,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,21:00,03-Aug-2021,22:00,97.0,30.0,29.9,735.66,7.05,66.53,134.5,0.0,70.8,53.67,1.57,6.18,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,22:00,03-Aug-2021,23:00,101.25,33.25,29.9,735.73,7.0,66.33,149.25,0.0,64.42,51.25,1.62,44.47,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",03-Aug-2021,23:00,04-Aug-2021,00:00,108.0,33.0,29.6,735.66,7.05,67.6,148.5,0.0,43.32,46.0,1.2,43.92,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,00:00,04-Aug-2021,01:00,107.0,35.25,29.23,735.88,7.05,70.57,141.25,0.0,41.62,42.88,1.07,4.8,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,01:00,04-Aug-2021,02:00,144.25,47.75,29.73,736.03,7.1,73.47,147.75,0.0,31.23,36.4,0.8,8.0,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,02:00,04-Aug-2021,03:00,102.25,36.25,29.6,735.98,7.0,75.33,145.25,0.0,20.98,29.45,0.75,8.38,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,03:00,04-Aug-2021,04:00,91.75,31.0,29.95,735.6,7.05,76.15,144.5,0.0,18.73,27.55,0.72,8.27,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,04:00,04-Aug-2021,05:00,71.0,35.0,29.85,735.97,7.1,77.02,139.0,0.0,17.77,25.52,0.7,7.05,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,05:00,04-Aug-2021,06:00,84.75,45.25,29.62,735.86,7.72,76.75,131.0,0.0,17.23,23.95,0.73,5.05,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,06:00,04-Aug-2021,07:00,81.75,35.5,29.6,735.75,25.02,73.35,138.5,0.0,20.73,24.0,0.6,10.6,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,07:00,04-Aug-2021,08:00,59.25,20.5,29.72,735.86,46.6,69.12,132.0,0.0,23.67,23.3,0.6,13.28,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,08:00,04-Aug-2021,09:00,60.75,17.0,30.78,735.47,142.2,65.28,132.25,0.0,22.3,24.32,0.67,31.25,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,09:00,04-Aug-2021,10:00,53.5,24.0,32.45,735.99,110.97,57.75,131.75,0.0,26.97,28.93,0.67,53.1,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,10:00,04-Aug-2021,11:00,78.75,33.75,33.15,735.73,195.43,54.95,123.75,0.0,25.03,33.15,0.82,47.8,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,11:00,04-Aug-2021,12:00,79.75,27.25,33.12,735.83,254.45,55.32,130.5,0.0,28.6,35.2,0.9,51.55,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,12:00,04-Aug-2021,13:00,79.75,28.25,33.62,735.79,197.95,53.23,125.25,0.0,30.65,40.4,0.75,61.2,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,13:00,04-Aug-2021,14:00,65.0,27.75,33.17,735.79,127.6,54.68,136.75,0.0,26.8,37.1,0.75,83.25,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,14:00,04-Aug-2021,15:00,67.5,25.75,33.12,735.9,93.22,54.55,142.0,0.0,25.7,35.02,0.7,84.98,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,15:00,04-Aug-2021,16:00,66.5,28.75,33.05,735.84,69.65,54.7,138.5,0.0,25.07,37.65,0.75,77.4,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,16:00,04-Aug-2021,17:00,65.25,22.5,32.98,735.83,53.75,54.53,126.5,0.0,17.8,28.8,0.68,94.78,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,17:00,04-Aug-2021,18:00,60.25,24.25,32.4,735.67,15.08,56.17,146.75,0.0,31.4,48.25,0.83,58.17,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,18:00,04-Aug-2021,19:00,69.25,26.0,32.1,735.86,14.45,57.95,111.75,0.0,24.35,41.45,0.8,47.65,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,19:00,04-Aug-2021,20:00,69.0,28.75,31.68,735.86,7.15,60.5,96.5,0.0,38.23,56.17,1.03,18.8,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,20:00,04-Aug-2021,21:00,87.25,29.75,31.43,735.75,7.1,62.82,85.75,0.0,57.25,63.97,1.5,5.95,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,21:00,04-Aug-2021,22:00,122.75,34.75,31.02,735.81,7.05,65.15,59.0,0.0,72.25,61.2,1.63,6.58,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,22:00,04-Aug-2021,23:00,121.5,36.75,31.02,735.94,7.1,65.95,102.0,0.0,78.9,61.9,1.88,80.52,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",04-Aug-2021,23:00,05-Aug-2021,00:00,157.75,49.75,30.78,735.81,7.1,68.4,112.0,0.0,85.3,58.8,2.13,42.73,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,00:00,05-Aug-2021,01:00,230.25,65.25,30.65,735.58,7.1,69.78,133.0,0.0,80.47,53.98,1.5,10.32,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,01:00,05-Aug-2021,02:00,197.75,77.25,30.42,735.77,7.07,71.38,118.0,0.0,73.82,51.92,1.2,44.5,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,02:00,05-Aug-2021,03:00,222.25,96.0,30.4,735.81,7.12,72.45,155.0,0.0,56.88,47.53,0.78,11.8,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,03:00,05-Aug-2021,04:00,200.5,69.75,30.2,735.75,7.12,73.45,146.0,0.0,35.3,38.17,0.47,4.78,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,04:00,05-Aug-2021,05:00,144.25,49.0,30.1,735.84,7.05,75.58,162.5,0.0,28.78,31.43,0.45,6.78,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,05:00,05-Aug-2021,06:00,119.25,58.75,30.1,736.11,7.6,76.0,164.25,0.0,30.35,29.88,0.47,26.7,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,06:00,05-Aug-2021,07:00,110.5,50.5,30.15,735.86,21.0,75.68,60.25,0.0,40.33,33.9,0.9,77.5,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,07:00,05-Aug-2021,08:00,123.75,46.5,30.6,735.97,38.33,72.22,106.25,0.0,28.6,33.72,0.82,38.27,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,08:00,05-Aug-2021,09:00,103.5,44.5,30.7,735.75,50.83,71.17,116.0,0.0,25.98,29.48,0.75,16.23,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,09:00,05-Aug-2021,10:00,73.5,35.5,31.43,735.73,104.85,67.9,111.75,0.0,22.23,28.62,0.75,22.45,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,10:00,05-Aug-2021,11:00,83.25,40.5,32.75,735.84,200.68,60.95,120.75,0.0,25.55,34.62,0.85,40.58,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,11:00,05-Aug-2021,12:00,102.25,44.25,32.55,736.01,133.97,60.35,134.25,0.0,31.77,42.65,0.97,53.7,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,12:00,05-Aug-2021,13:00,104.75,41.5,32.5,735.73,199.45,58.8,129.5,0.0,24.98,31.2,0.75,37.0,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,13:00,05-Aug-2021,14:00,79.0,16.5,33.02,735.86,122.05,56.52,135.25,0.0,18.57,25.02,0.67,57.77,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,14:00,05-Aug-2021,15:00,66.0,27.75,33.15,735.9,101.92,55.38,145.75,0.0,17.9,23.83,0.57,77.1,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,15:00,05-Aug-2021,16:00,64.25,29.75,33.25,736.03,68.45,54.45,144.25,0.0,16.45,25.67,0.62,95.6,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,16:00,05-Aug-2021,17:00,70.75,30.25,33.02,735.83,51.2,55.23,135.75,0.0,13.82,22.45,0.57,115.3,1,0,0,0,28.674045,77.131023
"Punjabi Bagh, Delhi - DPCC",05-Aug-2021,17:00,05-Aug-2021,18:00,79.5,34.5,32.98,736.07,39.6,54.4,125.75,0.0,17.83,27.9,0.6,87.27,1,0,0,0,28.674045,77.131023
