Station Name,From,FT,To,TT,PM10(ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),RF(mm),NOx(ppb),NO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter,Latitude,Longitude
"Pusa, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,99.0,33.25,28.23,975.35,4.38,84.15,335.77,0.0,140.8,55.15,2.15,7.25,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,92.25,30.5,28.22,974.98,4.4,84.4,335.7,0.0,146.78,51.53,2.18,95.7,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,118.75,34.25,28.38,974.83,4.33,82.55,287.68,0.0,146.78,51.53,2.18,17.45,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,149.25,43.0,28.3,974.48,4.3,83.67,193.35,0.12,131.92,45.75,0.9,8.55,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,62.5,23.5,28.17,974.35,4.17,84.67,185.32,0.0,108.2,51.42,0.55,7.85,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,53.5,24.25,27.65,974.95,4.18,83.4,118.8,2.25,77.9,48.62,0.22,7.12,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,31.0,13.0,27.1,976.42,5.53,85.9,144.95,0.5,61.8,47.25,0.1,6.57,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,31.0,13.0,27.0,976.48,7.68,86.32,94.47,0.12,44.78,40.73,0.1,3.0,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,31.0,13.0,27.1,976.27,14.12,86.67,302.53,0.38,44.0,48.5,0.1,5.75,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,18.0,14.0,27.25,975.92,67.42,86.43,331.77,0.25,60.08,53.8,0.9,6.82,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,18.5,13.5,27.78,975.7,183.95,82.75,57.38,0.0,74.8,56.0,1.38,15.3,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,50.75,16.25,28.82,975.4,387.1,72.5,158.55,0.0,113.12,62.67,1.8,11.15,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,151.75,33.0,29.5,974.8,505.65,65.4,186.8,0.0,116.82,75.98,1.75,14.8,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,176.5,48.0,29.52,974.17,281.38,64.85,210.75,0.0,102.33,86.4,1.83,20.3,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,163.5,55.25,29.6,973.53,307.52,63.9,218.42,0.0,81.53,86.85,1.67,23.7,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,136.0,47.0,29.52,972.97,234.85,63.97,236.22,0.0,76.45,87.97,1.58,15.7,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,126.0,37.5,29.73,972.62,255.73,60.38,261.08,0.0,82.75,94.3,1.3,19.18,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,119.5,35.5,29.55,972.35,132.22,60.77,262.5,0.0,92.2,88.92,1.5,17.88,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,142.75,34.0,29.27,972.88,64.67,61.05,217.32,0.0,97.78,86.6,1.78,9.52,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,19:00,01-Aug-2021,20:00,167.0,38.0,28.68,973.6,5.45,71.38,274.65,0.0,127.9,83.03,2.08,14.78,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,20:00,01-Aug-2021,21:00,162.5,49.25,28.42,974.15,4.43,78.17,337.18,0.0,96.15,78.75,1.53,21.3,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,21:00,01-Aug-2021,22:00,108.75,47.25,28.23,974.68,4.43,81.55,338.88,0.0,76.72,69.77,1.6,11.5,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,22:00,01-Aug-2021,23:00,97.5,46.25,28.02,974.8,4.33,81.93,341.37,0.0,84.7,73.0,1.8,4.28,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",01-Aug-2021,23:00,02-Aug-2021,00:00,111.75,43.25,28.0,974.8,4.28,82.78,341.2,0.0,111.15,64.58,2.38,7.28,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,00:00,02-Aug-2021,01:00,148.5,53.25,27.92,974.4,4.2,84.72,341.38,0.0,131.22,59.95,2.75,10.95,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,01:00,02-Aug-2021,02:00,157.5,60.25,27.85,973.8,4.2,85.88,341.4,0.0,140.23,57.92,2.55,68.9,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,02:00,02-Aug-2021,03:00,114.5,52.75,27.85,973.6,4.2,86.05,341.35,0.0,140.23,57.92,2.55,21.25,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,03:00,02-Aug-2021,04:00,101.25,55.25,27.85,973.55,4.2,85.9,341.38,0.0,119.6,52.2,1.9,24.28,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,04:00,02-Aug-2021,05:00,86.5,57.5,27.85,973.92,4.2,84.7,341.4,0.0,109.65,56.5,1.57,28.05,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,05:00,02-Aug-2021,06:00,111.0,65.0,27.98,974.28,4.8,83.95,343.35,0.0,111.45,54.4,1.98,56.3,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,06:00,02-Aug-2021,07:00,153.25,73.75,27.95,974.88,16.7,84.6,16.2,0.0,136.5,56.75,1.65,66.4,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,07:00,02-Aug-2021,08:00,124.75,75.0,28.23,975.4,70.58,84.12,119.35,0.12,154.95,49.8,1.8,85.97,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,08:00,02-Aug-2021,09:00,106.0,74.0,28.47,976.15,149.35,80.55,12.07,0.0,147.0,61.07,1.13,42.35,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,09:00,02-Aug-2021,10:00,64.25,49.75,28.68,976.48,134.82,73.3,334.23,0.0,110.55,64.22,0.88,14.55,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,10:00,02-Aug-2021,11:00,45.75,35.75,29.17,976.52,308.73,65.12,322.48,0.0,76.12,65.72,0.55,21.9,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,11:00,02-Aug-2021,12:00,47.0,27.25,29.23,976.48,285.88,63.52,331.23,0.0,54.43,64.43,0.55,33.38,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,12:00,02-Aug-2021,13:00,63.0,38.75,29.6,975.85,458.4,60.95,321.1,0.0,44.75,68.15,0.45,33.9,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,13:00,02-Aug-2021,14:00,61.0,33.0,28.93,975.3,197.6,69.67,298.38,1.5,38.15,58.2,0.57,33.8,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,14:00,02-Aug-2021,15:00,47.5,26.5,28.52,974.7,183.32,79.15,227.38,0.0,87.68,65.75,1.77,12.88,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,15:00,02-Aug-2021,16:00,55.75,27.75,28.52,974.33,89.05,80.0,241.75,1.12,99.62,69.7,1.9,13.9,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,16:00,02-Aug-2021,17:00,68.5,36.5,28.45,973.95,98.2,81.08,238.45,0.0,136.52,69.55,2.3,8.6,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,17:00,02-Aug-2021,18:00,76.0,38.5,28.73,973.92,97.92,74.47,290.4,0.0,132.4,71.65,1.43,9.45,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,18:00,02-Aug-2021,19:00,76.25,35.5,28.35,974.2,31.4,75.93,326.5,0.0,86.77,68.2,0.98,9.7,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,19:00,02-Aug-2021,20:00,54.5,22.25,28.2,974.8,4.88,77.53,317.23,0.0,68.27,62.18,1.1,4.55,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,20:00,02-Aug-2021,21:00,64.75,25.0,28.2,975.55,4.1,78.15,332.93,0.0,67.45,62.05,1.17,7.0,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,21:00,02-Aug-2021,22:00,54.5,30.5,28.3,976.17,4.03,76.7,334.95,0.0,56.43,58.95,1.1,6.15,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,22:00,02-Aug-2021,23:00,56.5,30.5,28.3,976.25,4.03,77.9,321.98,0.0,51.9,58.27,1.15,7.7,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",02-Aug-2021,23:00,03-Aug-2021,00:00,66.0,36.25,28.23,975.97,4.1,79.3,329.48,0.0,56.95,60.03,1.02,8.07,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",03-Aug-2021,00:00,03-Aug-2021,01:00,68.75,44.25,28.1,975.92,4.12,80.7,324.25,0.0,53.62,59.23,0.88,7.95,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",03-Aug-2021,01:00,03-Aug-2021,02:00,84.75,54.0,28.1,975.92,4.03,81.17,316.9,0.0,54.17,58.1,0.85,87.95,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",03-Aug-2021,02:00,03-Aug-2021,03:00,76.5,44.0,28.08,975.48,4.0,81.53,345.27,0.0,54.17,58.1,0.85,14.28,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",03-Aug-2021,03:00,03-Aug-2021,04:00,62.0,40.5,28.0,975.48,4.0,81.03,335.15,0.0,41.05,44.42,0.7,12.1,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",03-Aug-2021,04:00,03-Aug-2021,05:00,60.0,41.0,27.95,975.7,3.95,81.47,324.27,0.0,43.62,50.48,0.7,2.65,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",03-Aug-2021,05:00,03-Aug-2021,06:00,65.5,43.75,27.85,976.27,5.82,83.27,325.15,0.0,47.33,51.12,0.75,4.95,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",03-Aug-2021,06:00,03-Aug-2021,07:00,73.0,33.25,27.9,976.75,41.05,82.85,314.9,0.0,52.7,50.05,0.75,7.53,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",03-Aug-2021,07:00,03-Aug-2021,08:00,69.0,30.75,28.45,976.8,182.43,76.53,329.35,0.0,52.88,46.4,0.7,6.8,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",03-Aug-2021,08:00,03-Aug-2021,09:00,57.0,31.5,28.65,976.9,261.5,71.85,352.75,0.0,41.33,42.22,0.7,10.9,1,0,0,0,28.639645,77.146263
"Pusa, Delhi - DPCC",03-Aug-2021,09:00,03-Aug-2021,10:00,56.0,34.75,28.97,976.73,366.8,67.38,93.8,0.0,27.17,29.0,0.73,22.28,1,0,0,0,28.639645,77.146263
