Station Name,From,FT,To,TT,PM10(ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),RF(mm),NOx(ppb),NO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter,Latitude,Longitude
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,74.0,63.0,29.5,977.33,4.8,93.35,35.7,0.0,72.33,16.18,2.37,20.4,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,74.0,63.0,29.53,976.83,4.75,94.15,35.7,0.0,85.9,16.42,1.95,10.2,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,74.0,83.0,28.8,976.73,4.72,97.3,35.7,0.0,69.9,14.88,1.33,8.18,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,74.0,76.25,28.62,976.3,4.72,96.95,35.68,0.0,59.38,14.22,1.0,5.25,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,73.0,53.5,28.4,976.4,4.7,93.93,179.52,6.12,50.08,12.0,0.72,4.95,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,58.0,36.5,25.23,976.72,4.67,99.3,210.9,5.5,39.2,9.27,0.45,4.47,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,19.5,7.25,25.18,978.07,5.07,99.3,164.6,7.0,35.72,9.08,0.4,4.82,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,10.75,5.0,24.92,978.5,6.05,99.3,190.38,7.25,36.23,12.0,0.93,4.25,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,7.5,5.75,25.37,978.0,13.0,99.3,3.37,36.0,38.48,14.35,1.02,8.12,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,11.25,10.25,25.68,977.8,49.33,99.3,4.67,1.0,43.95,15.43,1.33,31.0,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,18.0,17.0,26.55,977.52,144.75,99.3,45.98,0.0,43.72,15.07,1.2,61.95,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,52.0,39.0,28.55,977.3,265.15,96.12,198.68,0.0,45.78,16.77,1.48,55.2,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,46.5,34.0,30.2,976.82,322.4,87.18,198.95,0.0,41.12,16.75,1.37,16.25,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,34.25,21.5,31.95,976.32,367.92,78.7,225.48,0.0,37.5,17.48,1.38,15.9,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,53.75,37.25,32.25,975.6,344.35,79.1,284.93,0.0,33.27,20.0,1.48,22.0,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,75.75,65.25,31.6,975.0,228.02,81.47,260.02,0.0,30.4,19.75,1.4,22.2,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,80.5,69.5,31.5,974.7,200.23,81.22,262.23,0.0,30.1,19.77,1.32,17.02,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,83.5,54.5,30.77,974.53,103.15,83.88,296.15,0.0,32.1,20.0,1.55,13.5,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,97.0,67.25,29.67,974.92,26.05,90.05,1.18,0.0,32.33,20.45,1.57,9.62,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,19:00,01-Aug-2021,20:00,97.0,92.0,28.37,975.62,5.62,96.88,74.07,0.0,35.92,22.1,2.08,5.15,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,20:00,01-Aug-2021,21:00,97.0,80.0,28.2,976.15,4.83,97.2,79.22,0.0,44.0,23.9,2.57,5.05,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,21:00,01-Aug-2021,22:00,97.0,80.0,27.45,976.7,4.8,98.82,84.3,0.0,47.05,20.52,2.88,5.58,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,22:00,01-Aug-2021,23:00,97.0,80.0,27.45,976.83,4.8,98.8,92.22,0.0,61.75,21.35,3.05,17.4,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",01-Aug-2021,23:00,02-Aug-2021,00:00,97.0,80.0,27.08,976.73,4.8,98.57,71.75,0.0,62.58,18.77,2.27,66.0,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",02-Aug-2021,00:00,02-Aug-2021,01:00,97.0,79.5,26.8,976.32,4.8,99.12,10.53,0.0,72.7,18.85,2.2,65.77,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",02-Aug-2021,01:00,02-Aug-2021,02:00,97.0,80.5,26.7,975.75,4.83,99.3,10.6,0.0,81.28,17.7,1.7,21.7,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",02-Aug-2021,02:00,02-Aug-2021,03:00,97.0,88.75,26.92,975.57,4.8,99.3,10.6,0.0,89.75,16.02,1.72,16.43,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",02-Aug-2021,03:00,02-Aug-2021,04:00,97.0,89.75,27.52,975.55,4.83,99.15,10.77,0.0,87.25,17.38,1.3,9.72,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",02-Aug-2021,04:00,02-Aug-2021,05:00,97.0,86.0,28.08,975.8,4.8,98.22,10.92,0.0,68.35,17.45,0.92,7.4,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",02-Aug-2021,05:00,02-Aug-2021,06:00,99.0,84.5,27.68,976.18,5.28,99.15,11.0,0.0,67.62,14.3,0.82,8.8,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",02-Aug-2021,06:00,02-Aug-2021,07:00,88.0,68.75,28.08,976.8,18.1,98.25,11.1,0.0,51.75,13.3,0.67,19.5,1,0,0,0,28.672342,77.31526
"Vivek Vihar, Delhi - DPCC",02-Aug-2021,07:00,02-Aug-2021,08:00,54.0,32.5,28.38,977.32,53.92,98.6,11.07,0.12,46.23,12.32,1.18,12.93,1,0,0,0,28.672342,77.31526
