Station Name,From,FT,To,TT,PM10,PM2.5,"AT()","BP(mmHg)","SR(W/mt2)","RH(%)","WD(degree)","RF(mm)","NO(ug/m3)","NOx(ppb)","NO2(ug/m3)","NH3(ug/m3)","SO2(ug/m3)","CO(mg/m3)","Ozone(ug/m3)","Benzene()","Toluene()","Xylene()","MP-Xylene()","Eth-Xylene()"
"Alipur, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,102.0,39.5,28.9,976.1,4.47,85.97,55.38,,31.42,36.65,20.72,12.6,6.62,1.08,2.87,0.72,4.0,2.68,,
"Alipur, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,93.0,38.75,28.77,975.73,4.43,86.85,50.2,,21.48,27.12,18.1,14.07,4.03,0.93,,0.45,3.33,1.27,,
"Alipur, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,112.75,42.75,28.42,975.48,4.43,86.98,49.7,,50.3,51.6,19.9,18.7,0.4,0.9,2.83,0.62,5.0,1.67,,
"Alipur, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,145.0,49.0,28.43,975.15,4.43,87.65,49.7,,53.12,52.52,17.32,16.4,0.98,1.02,3.65,0.5,15.33,3.85,,
"Alipur, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,147.0,53.5,28.67,975.02,4.43,87.38,217.5,,74.83,72.6,22.1,13.65,3.47,1.08,5.2,0.45,24.5,6.27,,
"Alipur, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,143.25,58.0,28.3,975.25,4.68,85.6,265.93,,19.57,25.52,18.1,16.1,6.38,0.9,3.5,0.68,21.93,3.32,,
"Alipur, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,87.5,44.75,26.07,976.5,6.72,80.85,158.42,,1.98,4.47,5.45,15.03,6.03,0.33,2.58,0.2,10.15,0.93,,
"Alipur, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,8.0,5.0,25.38,977.33,6.75,86.77,109.55,1.0,1.52,4.6,6.25,13.35,4.5,0.4,3.65,0.0,2.85,0.2,,
"Alipur, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,,,25.08,977.17,10.75,88.2,110.08,2.12,1.52,4.2,5.53,12.53,6.6,0.45,2.82,0.0,2.3,0.07,,
"Alipur, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,,,25.52,976.6,64.4,88.2,128.85,0.62,1.95,6.5,9.25,12.38,7.33,0.5,2.43,0.0,1.75,0.0,,
"Alipur, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,,,26.7,976.33,172.9,83.83,103.25,,2.62,9.33,13.5,12.43,6.0,0.5,2.9,0.05,1.77,0.0,,
"Alipur, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,,,29.32,976.1,355.88,74.82,273.05,,4.1,12.35,16.85,12.38,4.65,0.6,3.85,0.0,2.43,0.07,,
"Alipur, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,29.0,17.0,29.33,975.42,255.23,74.67,271.0,,3.12,10.8,15.57,12.8,3.85,0.55,4.7,0.2,20.98,0.7,,
