AQ_1420_Aug21_July22
Station Name,From,FT,To,TT,"PM10 (ug/m3)","PM2.5(ug/m3)","AT()","BP(mmHg)","SR(W/mt2)","RH(%)","WD(degree)","RF(mm)","NO(ug/m3)","NOx(ppb)","NO2(ug/m3)","NH3(ug/m3)","SO2(ug/m3)","CO(mg/m3)","Ozone(ug/m3)","Benzene()","Toluene()","Xylene()","MP-Xylene()","Eth-Xylene()"
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,185.5,68.25,26.8,974.95,1.27,92.03,72.42,0.0,71.53,69.0,20.15,25.2,9.18,5.17,14.33,0.75,21.05,7.98,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,206.25,78.5,26.85,974.55,1.17,92.27,78.03,0.0,93.5,88.15,22.35,28.02,10.53,2.75,49.3,0.85,21.8,8.97,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,231.25,82.75,26.92,974.38,1.12,91.85,77.58,0.0,52.1,55.9,25.2,28.6,12.9,1.1,20.8,1.43,21.27,8.12,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,162.75,63.5,26.95,973.95,0.88,91.08,103.45,0.0,67.4,67.67,23.9,22.35,13.88,0.93,61.0,3.5,24.18,7.85,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,153.0,57.5,26.82,973.93,1.05,92.85,108.55,0.07,47.2,53.18,27.65,21.3,13.53,0.55,31.62,3.08,36.57,8.8,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,80.5,37.0,25.68,974.65,1.27,95.0,78.15,0.0,7.38,14.28,15.48,19.82,11.12,0.2,18.55,2.65,29.9,6.82,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,25.0,16.0,24.77,975.78,2.18,95.88,125.3,0.0,3.97,9.55,11.88,18.23,7.95,0.15,19.42,2.1,20.88,3.92,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,,,24.67,976.2,3.97,95.88,48.7,0.0,4.28,10.83,13.77,20.9,5.2,0.88,15.15,1.48,17.82,3.3,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,,,24.8,975.98,9.55,95.9,106.1,0.0,10.65,25.48,31.57,19.65,8.62,1.1,14.17,1.4,15.4,2.95,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,,,25.1,975.58,59.98,96.1,42.58,0.0,16.12,35.3,41.7,22.42,9.9,1.18,11.93,1.3,13.95,2.88,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,17.0,12.0,25.9,975.27,197.62,93.62,49.8,0.0,12.07,22.98,24.67,23.65,9.7,0.82,11.2,1.33,13.38,2.85,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,28.0,16.0,28.62,974.83,477.9,76.72,178.78,0.0,14.97,28.68,30.95,20.23,13.88,0.93,15.1,1.35,12.8,2.92,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,61.75,28.5,30.15,974.3,459.32,65.5,189.35,0.0,8.57,21.65,27.52,18.7,16.0,0.87,18.23,1.88,16.43,4.0,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,64.0,31.0,29.17,973.8,307.1,69.6,183.28,0.0,6.32,17.55,23.3,17.65,15.83,1.43,18.43,1.62,15.58,3.28,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,66.5,35.75,29.68,973.12,332.5,65.67,117.42,0.0,5.42,13.57,17.22,16.98,9.3,1.58,24.6,1.32,14.12,2.65,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,73.75,41.0,29.33,972.47,270.52,67.6,243.1,0.0,6.03,14.9,18.75,18.93,4.07,1.95,27.15,0.43,15.77,2.55,,
"Ashok Vihar, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,72.0,40.25,29.23,972.17,221.7,67.47,110.1,0.0,5.53,15.45,20.6,22.77,3.92,2.02,18.32,0.68,20.48,2.73,,
