AQ_108_Aug21_July22
Station Name,From,FT,To,TT,"PM10 (ug/m3)","PM2.5(ug/m3)","AT()","BP(mmHg)","SR(W/mt2)","RH(%)","WD(degree)","RF(mm)","NO(ug/m3)","NOx(ppb)","NO2(ug/m3)","NH3(ug/m3)","SO2(ug/m3)","CO(mg/m3)","Ozone(ug/m3)","Benzene()","Toluene()","Xylene()","MP-Xylene()","Eth-Xylene()"
"Aya Nagar, Delhi - IMD",01-Aug-2021,00:00,01-Aug-2021,01:00,104.0,19.26,,,,,,,23.8,25.29,1.63,,,4.18,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,01:00,01-Aug-2021,02:00,126.29,47.53,,,,,,,20.23,22.86,2.76,,,3.77,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,02:00,01-Aug-2021,03:00,128.07,25.13,,,,,,,16.87,20.47,3.59,,,3.74,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,03:00,01-Aug-2021,04:00,90.67,33.24,,,,,,,12.2,17.5,5.3,,,2.78,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,04:00,01-Aug-2021,05:00,71.82,34.54,,,,,,,8.63,14.98,6.36,,,2.49,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,05:00,01-Aug-2021,06:00,67.32,19.27,,,,,,,6.79,12.95,6.16,,,2.37,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,06:00,01-Aug-2021,07:00,67.84,30.32,,,,,,,6.24,11.97,5.73,,,2.24,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,07:00,01-Aug-2021,08:00,67.06,38.44,,,,,,,,436.17,,,,2.95,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,08:00,01-Aug-2021,09:00,31.36,19.21,,,,,,,52.32,47.22,4.7,,,2.43,49.56,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,09:00,01-Aug-2021,10:00,28.18,44.02,,,,,,,6.25,11.92,5.66,,,2.19,157.34,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,10:00,01-Aug-2021,11:00,29.07,29.43,,,,,,,5.98,12.19,6.2,,,2.21,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,11:00,01-Aug-2021,12:00,14.01,19.01,,,,,,,6.61,13.26,6.65,,,2.3,175.02,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,12:00,01-Aug-2021,13:00,23.88,39.17,,,,,,,7.34,14.09,6.75,,,2.32,89.99,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,13:00,01-Aug-2021,14:00,34.81,34.09,,,,,,,5.74,12.46,6.73,,,2.18,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,14:00,01-Aug-2021,15:00,28.94,30.03,,,,,,,5.72,13.02,7.31,,,2.14,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,15:00,01-Aug-2021,16:00,39.06,40.96,,,,,,,5.51,11.02,5.51,,,2.05,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,16:00,01-Aug-2021,17:00,17.5,18.52,,,,,,,5.25,11.21,5.96,,,2.11,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,17:00,01-Aug-2021,18:00,78.15,58.39,,,,,,,5.18,11.96,6.78,,,2.2,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,18:00,01-Aug-2021,19:00,66.13,36.58,,,,,,,5.21,11.46,6.25,,,2.24,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,19:00,01-Aug-2021,20:00,41.0,10.7,,,,,,,5.09,12.03,6.94,,,2.28,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,20:00,01-Aug-2021,21:00,51.17,24.87,,,,,,,5.33,14.58,9.25,,,2.38,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,21:00,01-Aug-2021,22:00,48.69,23.99,,,,,,,6.61,12.95,6.34,,,3.24,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,22:00,01-Aug-2021,23:00,66.67,26.48,,,,,,,7.15,13.31,6.16,,,3.42,,,,,,
"Aya Nagar, Delhi - IMD",01-Aug-2021,23:00,02-Aug-2021,00:00,100.23,46.38,,,,,,,6.0,11.84,5.84,,,3.46,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,00:00,02-Aug-2021,01:00,80.08,31.89,,,,,,,5.39,11.13,5.74,,,3.42,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,01:00,02-Aug-2021,02:00,69.26,41.51,,,,,,,5.8,11.5,5.71,,,3.55,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,02:00,02-Aug-2021,03:00,99.03,46.62,,,,,,,9.43,14.91,5.49,,,4.08,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,03:00,02-Aug-2021,04:00,78.22,37.49,,,,,,,14.92,19.73,4.8,,,4.24,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,04:00,02-Aug-2021,05:00,82.03,50.11,,,,,,,11.53,18.39,6.86,,,4.13,108.73,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,05:00,02-Aug-2021,06:00,87.83,42.35,,,,,,,6.22,17.24,11.02,,,3.69,76.72,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,06:00,02-Aug-2021,07:00,68.62,38.15,,,,,,,7.27,17.43,10.16,,,3.55,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,07:00,02-Aug-2021,08:00,89.98,49.65,,,,,,,7.13,16.58,9.44,,,3.49,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,08:00,02-Aug-2021,09:00,67.12,32.14,,,,,,,6.68,16.19,9.51,,,3.05,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,09:00,02-Aug-2021,10:00,50.89,33.83,,,,,,,6.4,15.58,9.18,,,2.89,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,10:00,02-Aug-2021,11:00,37.92,20.55,,,,,,,6.03,15.37,9.35,,,2.64,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,11:00,02-Aug-2021,12:00,14.91,10.77,,,,,,,5.95,16.3,10.34,,,2.46,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,12:00,02-Aug-2021,13:00,45.68,36.77,,,,,,,5.58,16.33,10.75,,,2.45,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,13:00,02-Aug-2021,14:00,74.87,47.1,,,,,,,5.26,15.02,9.76,,,2.55,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,14:00,02-Aug-2021,15:00,50.75,41.16,,,,,,,5.28,15.23,9.95,,,2.28,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,15:00,02-Aug-2021,16:00,60.06,45.65,,,,,,,5.32,13.33,8.01,,,2.22,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,16:00,02-Aug-2021,17:00,26.03,15.34,,,,,,,5.38,12.58,7.2,,,2.26,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,17:00,02-Aug-2021,18:00,38.7,28.45,,,,,,,5.45,12.55,7.1,,,2.32,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,18:00,02-Aug-2021,19:00,57.58,24.35,,,,,,,5.6,13.05,7.45,,,2.8,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,19:00,02-Aug-2021,20:00,44.41,19.64,,,,,,,5.17,12.92,7.75,,,2.57,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,20:00,02-Aug-2021,21:00,34.88,17.73,,,,,,,5.27,13.04,7.77,,,2.48,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,21:00,02-Aug-2021,22:00,34.29,7.87,,,,,,,5.86,13.49,7.63,,,2.74,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,22:00,02-Aug-2021,23:00,55.1,23.03,,,,,,,11.1,18.48,7.37,,,3.25,,,,,,
"Aya Nagar, Delhi - IMD",02-Aug-2021,23:00,03-Aug-2021,00:00,76.07,33.81,,,,,,,10.11,16.94,6.84,,,3.1,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,00:00,03-Aug-2021,01:00,51.66,18.21,,,,,,,9.18,16.34,7.16,,,2.86,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,01:00,03-Aug-2021,02:00,61.99,31.28,,,,,,,7.63,14.69,7.06,,,2.66,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,02:00,03-Aug-2021,03:00,72.44,23.68,,,,,,,6.32,13.33,7.01,,,2.55,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,03:00,03-Aug-2021,04:00,57.98,27.9,,,,,,,6.77,13.73,6.96,,,2.43,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,04:00,03-Aug-2021,05:00,66.08,31.48,,,,,,,6.14,12.69,6.55,,,2.3,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,05:00,03-Aug-2021,06:00,70.35,19.11,,,,,,,5.26,11.45,6.18,,,2.18,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,06:00,03-Aug-2021,07:00,52.69,27.55,,,,,,,5.82,11.45,5.63,,,2.19,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,07:00,03-Aug-2021,08:00,60.91,30.21,,,,,,,6.27,11.82,5.55,,,2.25,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,08:00,03-Aug-2021,09:00,29.6,14.32,,,,,,,5.58,11.21,5.64,,,2.08,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,09:00,03-Aug-2021,10:00,39.01,31.9,,,,,,,5.57,11.14,5.57,,,2.07,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,10:00,03-Aug-2021,11:00,41.04,22.41,,,,,,,5.27,10.83,5.56,,,2.0,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,11:00,03-Aug-2021,12:00,45.98,26.71,,,,,,,5.33,11.09,5.76,,,1.98,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,12:00,03-Aug-2021,13:00,31.94,14.41,,,,,,,5.26,10.95,5.7,,,1.91,,,,,,
"Aya Nagar, Delhi - IMD",03-Aug-2021,13:00,03-Aug-2021,14:00,31.84,13.99,,,,,,,5.21,10.67,5.45,,,1.89,,,,,,
