AQ_103_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,00:00,01-Aug-2021,01:00,157.33,56.35,,,,,,,77.8,89.92,12.23,,,3.1,17.4,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,01:00,01-Aug-2021,02:00,166.03,43.3,,,,,,,91.48,100.61,9.08,,,3.21,17.34,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,02:00,01-Aug-2021,03:00,198.35,37.34,,,,,,,144.95,157.29,12.3,,,3.63,18.75,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,03:00,01-Aug-2021,04:00,168.59,64.16,,,,,,,138.94,147.47,8.64,,,3.14,15.87,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,04:00,01-Aug-2021,05:00,166.21,61.33,,,,,,,153.61,164.14,10.55,,,2.13,16.68,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,05:00,01-Aug-2021,06:00,106.13,29.42,,,,,,,156.61,166.41,9.77,,,1.76,35.02,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,06:00,01-Aug-2021,07:00,35.73,2.18,,,,,,,145.11,153.11,8.03,,,1.43,15.14,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,07:00,01-Aug-2021,08:00,5.93,9.25,,,,,,,150.54,164.21,13.64,,,1.43,15.9,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,08:00,01-Aug-2021,09:00,11.59,22.69,,,,,,,149.7,158.74,9.07,,,1.64,16.42,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,09:00,01-Aug-2021,10:00,18.37,11.16,,,,,,,172.83,181.59,8.79,,,1.54,16.68,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,10:00,01-Aug-2021,11:00,3.55,,,,,,,,150.07,159.03,8.91,,,1.6,17.45,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,11:00,01-Aug-2021,12:00,22.88,19.1,,,,,,,166.78,180.4,13.63,,,2.72,17.26,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,12:00,01-Aug-2021,13:00,80.91,58.35,,,,,,,164.35,177.33,12.99,,,2.9,17.05,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,13:00,01-Aug-2021,14:00,96.99,28.77,,,,,,,155.31,166.63,11.29,,,2.21,16.54,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,14:00,01-Aug-2021,15:00,32.05,2.76,,,,,,,149.57,160.29,10.72,,,1.87,16.85,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,15:00,01-Aug-2021,16:00,61.72,32.0,,,,,,,147.44,161.08,13.64,,,2.24,17.36,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,16:00,01-Aug-2021,17:00,79.39,44.96,,,,,,,145.04,158.69,13.66,,,2.02,18.58,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,17:00,01-Aug-2021,18:00,91.75,39.65,,,,,,,145.04,154.69,9.67,,,1.71,32.04,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,18:00,01-Aug-2021,19:00,70.65,18.19,,,,,,,159.93,170.71,10.78,,,1.78,30.61,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,19:00,01-Aug-2021,20:00,87.09,33.56,,,,,,,147.52,159.65,12.14,,,1.9,23.56,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,20:00,01-Aug-2021,21:00,87.69,47.26,,,,,,,149.66,161.94,12.28,,,2.06,21.46,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,21:00,01-Aug-2021,22:00,97.18,36.44,,,,,,,170.29,184.27,14.04,,,2.89,17.8,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,22:00,01-Aug-2021,23:00,131.06,32.92,,,,,,,186.58,201.17,14.54,,,3.11,33.71,,,,,
"CRRI Mathura Road, Delhi - IMD",01-Aug-2021,23:00,02-Aug-2021,00:00,164.3,65.54,,,,,,,170.93,184.63,13.69,,,3.42,47.51,,,,,
"CRRI Mathura Road, Delhi - IMD",02-Aug-2021,00:00,02-Aug-2021,01:00,218.99,98.88,,,,,,,182.98,203.53,20.59,,,3.4,49.8,,,,,
"CRRI Mathura Road, Delhi - IMD",02-Aug-2021,01:00,02-Aug-2021,02:00,249.96,104.37,,,,,,,212.57,227.37,14.81,,,3.76,53.68,,,,,
"CRRI Mathura Road, Delhi - IMD",02-Aug-2021,02:00,02-Aug-2021,03:00,181.9,74.81,,,,,,,212.7,225.88,13.14,,,3.48,58.13,,,,,
"CRRI Mathura Road, Delhi - IMD",02-Aug-2021,03:00,02-Aug-2021,04:00,159.42,71.37,,,,,,,183.98,195.86,11.87,,,3.28,57.33,,,,,
"CRRI Mathura Road, Delhi - IMD",02-Aug-2021,04:00,02-Aug-2021,05:00,158.19,91.93,,,,,,,175.73,189.8,14.05,,,2.5,48.04,,,,,
"CRRI Mathura Road, Delhi - IMD",02-Aug-2021,05:00,02-Aug-2021,06:00,105.66,57.87,,,,,,,174.73,185.48,10.78,,,1.87,23.28,,,,,
"CRRI Mathura Road, Delhi - IMD",02-Aug-2021,06:00,02-Aug-2021,07:00,65.57,16.2,,,,,,,189.08,197.71,8.6,,,1.69,18.58,,,,,
"CRRI Mathura Road, Delhi - IMD",02-Aug-2021,07:00,02-Aug-2021,08:00,44.74,20.39,,,,,,,166.13,176.4,10.24,,,2.16,15.42,,,,,
"CRRI Mathura Road, Delhi - IMD",02-Aug-2021,08:00,02-Aug-2021,09:00,37.23,27.77,,,,,,,154.26,165.12,10.87,,,1.62,15.95,,,,,
"CRRI Mathura Road, Delhi - IMD",02-Aug-2021,09:00,02-Aug-2021,10:00,46.23,21.02,,,,,,,172.95,181.08,8.18,,,1.6,16.43,,,,,
"CRRI Mathura Road, Delhi - IMD",02-Aug-2021,10:00,02-Aug-2021,11:00,36.86,4.12,,,,,,,181.83,189.94,8.08,,,1.66,18.33,,,,,
"CRRI Mathura Road, Delhi - IMD",02-Aug-2021,11:00,02-Aug-2021,12:00,65.56,24.73,,,,,,,168.45,178.53,10.07,,,1.71,24.79,,,,,
"CRRI Mathura Road, Delhi - IMD",02-Aug-2021,12:00,02-Aug-2021,13:00,73.86,52.64,,,,,,,164.83,173.44,8.61,,,1.58,38.84,,,,,
