AQ_5393_Aug21_July22_Neww
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Chandni Chowk, Delhi - IITM",01-Aug-2021,00:00,01-Aug-2021,01:00,295.6,47.0,29.48,,,78.46,187.16,0.0,110.68,95.63,13.53,92.63,6.36,2.83,10.73,7.71,8.35,0.81,1.46,1.3
"Chandni Chowk, Delhi - IITM",01-Aug-2021,01:00,01-Aug-2021,02:00,250.47,47.77,29.59,,,80.36,190.21,0.0,204.84,166.49,5.21,150.14,7.25,3.7,10.62,7.43,9.46,0.82,1.45,1.39
"Chandni Chowk, Delhi - IITM",01-Aug-2021,02:00,01-Aug-2021,03:00,395.98,48.5,29.71,,,81.09,190.78,0.0,143.5,120.82,11.51,111.17,7.09,2.51,9.42,8.0,8.89,0.94,1.41,1.51
"Chandni Chowk, Delhi - IITM",01-Aug-2021,03:00,01-Aug-2021,04:00,497.88,36.78,29.71,,,81.53,193.92,0.0,106.86,91.95,12.33,85.19,5.75,2.04,9.84,7.34,7.19,1.07,1.42,1.55
"Chandni Chowk, Delhi - IITM",01-Aug-2021,04:00,01-Aug-2021,05:00,482.85,34.85,29.77,,,82.01,198.4,4.75,64.38,60.58,17.33,59.21,5.35,1.33,9.31,6.8,7.15,0.97,1.33,1.36
"Chandni Chowk, Delhi - IITM",01-Aug-2021,05:00,01-Aug-2021,06:00,338.75,23.35,27.55,,,85.5,229.07,2.8,15.58,22.08,18.37,25.44,3.65,0.37,9.83,4.31,7.01,0.71,1.08,1.05
"Chandni Chowk, Delhi - IITM",01-Aug-2021,06:00,01-Aug-2021,07:00,211.88,23.85,27.09,,,86.6,178.11,1.95,10.31,17.08,16.87,22.73,3.78,0.44,10.0,1.43,4.13,0.42,0.68,0.5
"Chandni Chowk, Delhi - IITM",01-Aug-2021,07:00,01-Aug-2021,08:00,219.25,23.43,26.88,,,87.59,182.62,2.45,6.08,15.43,20.17,21.9,3.7,0.47,9.48,1.25,3.44,0.29,0.52,0.34
"Chandni Chowk, Delhi - IITM",01-Aug-2021,08:00,01-Aug-2021,09:00,199.57,22.12,27.09,,,87.96,212.96,0.85,9.5,21.22,26.02,25.4,3.51,0.56,7.83,1.01,2.93,0.21,0.44,0.24
"Chandni Chowk, Delhi - IITM",01-Aug-2021,09:00,01-Aug-2021,10:00,86.67,22.2,27.34,,,87.95,203.9,0.5,14.39,25.64,26.98,29.94,3.81,0.69,9.8,1.09,2.71,0.18,0.41,0.21
"Chandni Chowk, Delhi - IITM",01-Aug-2021,10:00,01-Aug-2021,11:00,67.3,35.0,27.94,,,87.95,202.0,0.0,17.35,28.88,28.66,32.12,4.0,0.91,8.58,1.47,2.85,0.18,0.4,0.22
"Chandni Chowk, Delhi - IITM",01-Aug-2021,11:00,01-Aug-2021,12:00,76.17,30.02,29.1,,,87.37,192.7,0.0,9.21,22.76,29.4,25.52,3.98,0.92,11.58,2.04,3.15,0.2,0.42,0.24
"Chandni Chowk, Delhi - IITM",01-Aug-2021,12:00,01-Aug-2021,13:00,48.7,34.3,30.72,,,77.57,202.9,0.0,5.1,16.11,22.98,18.88,4.86,0.82,24.71,3.29,4.34,0.24,0.48,0.32
"Chandni Chowk, Delhi - IITM",01-Aug-2021,13:00,01-Aug-2021,14:00,43.17,20.38,31.0,,,69.56,203.5,0.0,2.3,15.08,25.28,18.49,4.9,1.0,26.82,2.52,4.63,0.24,0.48,0.4
"Chandni Chowk, Delhi - IITM",01-Aug-2021,14:00,01-Aug-2021,15:00,47.8,14.9,31.59,,,74.03,218.8,0.0,2.21,16.12,27.43,19.21,4.74,1.0,27.12,2.65,4.92,0.26,0.51,0.48
"Chandni Chowk, Delhi - IITM",01-Aug-2021,15:00,01-Aug-2021,16:00,84.2,47.95,32.23,,,73.68,220.34,0.0,2.14,15.29,25.93,19.86,4.51,0.8,26.9,2.33,4.73,0.27,0.51,0.47
"Chandni Chowk, Delhi - IITM",01-Aug-2021,16:00,01-Aug-2021,17:00,85.93,27.68,32.23,,,73.89,205.57,0.0,2.43,14.28,23.57,20.73,4.66,0.76,26.68,1.72,5.63,0.26,0.48,0.41
"Chandni Chowk, Delhi - IITM",01-Aug-2021,17:00,01-Aug-2021,18:00,131.95,28.18,32.19,,,73.09,201.66,0.0,2.63,16.17,26.86,23.33,4.74,0.9,26.61,1.69,6.47,0.24,0.45,0.4
"Chandni Chowk, Delhi - IITM",01-Aug-2021,18:00,01-Aug-2021,19:00,115.8,29.2,29.68,,,73.92,188.66,0.0,4.46,19.72,30.83,26.11,5.42,1.09,26.39,1.91,6.47,0.26,0.48,0.48
