AQ_118_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"DTU, Delhi - CPCB",01-Aug-2021,00:00,01-Aug-2021,01:00,172.0,76.4,,,7.05,87.68,146.66,0.0,33.42,30.17,17.83,80.55,7.38,2.67,28.57,1.92,,,3.58,
"DTU, Delhi - CPCB",01-Aug-2021,01:00,01-Aug-2021,02:00,146.5,62.78,,,7.41,87.72,72.59,0.0,25.95,25.8,19.47,56.1,6.3,1.94,26.28,2.44,,,3.8,
"DTU, Delhi - CPCB",01-Aug-2021,02:00,01-Aug-2021,03:00,137.0,67.6,,,6.59,87.69,221.98,0.0,17.12,19.38,17.15,58.95,6.6,1.59,23.38,2.08,,,3.47,
"DTU, Delhi - CPCB",01-Aug-2021,03:00,01-Aug-2021,04:00,100.25,60.45,,,7.46,87.66,170.35,0.0,17.9,19.75,16.7,69.52,7.25,1.48,28.25,2.08,,,6.07,
"DTU, Delhi - CPCB",01-Aug-2021,04:00,01-Aug-2021,05:00,103.75,64.42,,,7.26,87.72,178.93,0.0,14.4,17.33,16.15,41.5,6.05,1.01,24.35,2.77,,,7.37,
"DTU, Delhi - CPCB",01-Aug-2021,05:00,01-Aug-2021,06:00,109.5,92.53,,,7.38,87.71,130.21,0.12,7.85,13.7,18.27,37.62,6.05,0.61,22.15,2.4,,,3.43,
"DTU, Delhi - CPCB",01-Aug-2021,06:00,01-Aug-2021,07:00,67.0,61.3,,,8.6,87.68,210.17,13.62,7.13,12.5,15.95,59.7,6.95,0.32,25.9,1.89,,,3.12,
"DTU, Delhi - CPCB",01-Aug-2021,07:00,01-Aug-2021,08:00,7.0,,,,8.99,87.72,227.33,1.12,6.55,12.88,18.4,34.08,6.03,0.3,24.37,2.15,,,3.05,
"DTU, Delhi - CPCB",01-Aug-2021,08:00,01-Aug-2021,09:00,8.25,,,,11.28,87.74,155.78,4.62,6.52,13.07,19.18,30.65,5.82,0.35,22.83,1.9,,,2.47,
"DTU, Delhi - CPCB",01-Aug-2021,09:00,01-Aug-2021,10:00,12.75,,,,35.08,87.67,205.35,1.25,8.1,14.08,19.2,58.27,6.88,0.59,25.4,1.4,,,2.18,
