AQ_1421_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,114.75,32.5,31.42,972.3,5.2,85.62,173.83,0.0,17.27,33.65,36.73,18.27,4.97,1.27,15.98,0.47,27.7,3.05,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,75.75,22.25,31.25,971.88,5.22,86.32,304.48,0.0,14.18,30.82,36.2,19.75,4.62,1.27,35.0,0.4,25.62,2.75,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,71.0,23.5,31.22,971.8,5.2,86.95,231.85,0.0,,,,,,,7.17,0.47,26.33,3.55,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,80.25,26.5,31.35,971.45,5.22,86.9,280.6,0.0,29.92,44.12,36.83,21.27,4.85,1.42,7.15,0.6,32.78,2.92,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,88.25,30.25,31.3,971.27,5.2,85.35,277.77,0.0,32.17,48.77,42.4,20.6,4.95,1.2,7.45,0.47,32.17,5.15,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,74.0,27.0,31.12,971.7,5.22,83.1,249.2,0.0,20.82,38.83,40.97,17.93,5.2,0.83,23.75,0.38,24.48,8.45,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,47.0,24.0,29.12,972.9,5.75,87.2,153.43,2.3,10.35,20.25,22.3,16.55,5.9,0.4,22.15,0.1,6.08,1.2,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,5.0,1.0,29.15,973.22,7.05,88.73,178.38,0.38,9.45,21.95,26.68,15.93,5.38,0.47,24.65,0.03,1.62,0.12,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,4.5,1.0,29.4,973.1,12.02,88.83,199.0,0.45,10.68,26.43,33.33,18.82,5.53,0.58,14.7,0.1,3.6,0.15,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,5.0,2.0,29.8,972.77,37.85,88.8,97.17,0.2,15.75,34.65,41.0,20.05,4.15,0.77,8.68,0.12,5.8,0.78,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,12.25,2.75,30.25,972.45,111.97,88.38,252.0,0.07,18.45,37.15,41.55,20.32,4.88,0.93,11.6,0.2,10.18,1.02,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,19.5,6.0,31.15,972.42,217.72,85.92,270.65,0.0,21.88,42.45,46.27,20.15,4.85,1.1,15.52,0.28,14.23,2.1,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,28.5,9.5,33.22,971.83,285.95,75.47,274.52,0.0,19.28,39.65,44.62,19.75,4.53,1.08,20.9,0.35,18.47,2.2,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,26.5,10.0,34.3,971.18,289.93,69.53,268.73,0.0,15.17,36.52,45.25,17.4,5.22,1.05,34.22,0.33,16.45,2.0,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,31.25,6.75,34.88,970.47,328.23,63.85,272.85,0.0,12.32,29.6,36.88,18.25,5.03,0.8,31.4,0.3,13.15,0.0,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,21.75,6.0,34.88,969.85,158.6,62.42,219.65,0.0,9.03,23.47,30.43,19.6,4.97,0.6,41.23,0.2,5.35,0.12,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,19.5,5.75,34.55,969.6,115.27,64.22,224.22,0.0,9.25,25.2,33.38,20.68,4.47,0.67,47.73,0.15,3.67,0.05,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,27.0,5.75,34.15,969.33,69.45,68.77,249.62,0.0,8.75,28.1,39.42,20.75,4.17,0.9,51.8,0.12,4.42,0.25,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,48.0,13.75,32.95,969.8,22.0,76.28,256.05,0.0,11.72,45.22,66.65,23.78,4.03,1.65,45.8,0.35,20.8,0.62,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,19:00,01-Aug-2021,20:00,88.5,31.75,32.1,970.5,5.82,80.4,234.85,0.0,17.3,57.68,81.93,22.18,4.18,2.0,18.68,0.58,35.5,2.5,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,20:00,01-Aug-2021,21:00,99.0,34.25,31.48,971.12,5.12,83.35,159.25,0.0,27.52,62.88,75.93,19.02,4.23,2.28,11.75,0.62,41.62,5.7,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,21:00,01-Aug-2021,22:00,99.75,41.0,31.25,971.73,5.15,84.62,119.55,0.0,28.1,67.05,83.1,20.55,6.3,2.47,15.12,0.77,49.0,6.92,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,22:00,01-Aug-2021,23:00,141.25,62.5,31.4,971.8,5.12,85.02,111.4,0.0,13.12,54.42,82.25,22.17,7.35,2.62,20.15,1.07,66.0,7.22,,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",01-Aug-2021,23:00,02-Aug-2021,00:00,168.0,68.0,30.97,971.63,5.2,86.32,156.42,0.0,16.97,47.88,64.05,22.8,8.27,2.25,35.2,1.07,68.12,7.45,,
