AQ_116_Aug21_July22_N
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,00:00,01-Aug-2021,01:00,,,,971.33,0.6,81.04,120.32,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,01:00,01-Aug-2021,02:00,,,,970.88,0.6,84.38,104.73,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,02:00,01-Aug-2021,03:00,,,,970.74,0.6,85.42,166.1,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,03:00,01-Aug-2021,04:00,,,,970.37,0.6,86.32,251.68,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,04:00,01-Aug-2021,05:00,,,,970.32,0.6,85.89,251.57,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,05:00,01-Aug-2021,06:00,,,,970.81,0.5,94.03,250.12,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,06:00,01-Aug-2021,07:00,,,,972.18,0.5,94.99,181.02,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,07:00,01-Aug-2021,08:00,,,,972.56,0.58,98.67,89.67,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,08:00,01-Aug-2021,09:00,,,,972.22,3.28,99.06,137.93,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,09:00,01-Aug-2021,10:00,,,,971.92,43.41,98.15,67.81,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,10:00,01-Aug-2021,11:00,,,,971.61,164.33,96.07,142.53,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,11:00,01-Aug-2021,12:00,,,,971.34,284.89,90.56,207.29,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,12:00,01-Aug-2021,13:00,,,,970.82,326.76,87.26,232.97,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,13:00,01-Aug-2021,14:00,,,,970.29,339.56,80.27,254.53,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,14:00,01-Aug-2021,15:00,,,,969.56,344.68,82.01,266.47,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,15:00,01-Aug-2021,16:00,,,,968.98,255.02,83.4,295.32,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,16:00,01-Aug-2021,17:00,,,,968.69,211.74,82.34,301.13,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,17:00,01-Aug-2021,18:00,,,,968.5,108.91,82.71,223.71,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,18:00,01-Aug-2021,19:00,,,,968.92,21.28,83.96,104.07,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,19:00,01-Aug-2021,20:00,,,,969.63,0.77,85.14,115.0,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,20:00,01-Aug-2021,21:00,,,,970.16,0.6,84.08,83.21,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,21:00,01-Aug-2021,22:00,,,,970.69,0.6,83.13,121.19,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,22:00,01-Aug-2021,23:00,,,,970.82,0.59,84.39,100.57,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",01-Aug-2021,23:00,02-Aug-2021,00:00,,,,970.71,0.53,84.99,65.79,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,00:00,02-Aug-2021,01:00,,,,970.31,0.5,83.4,148.84,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,01:00,02-Aug-2021,02:00,,,,969.8,0.5,83.72,183.08,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,02:00,02-Aug-2021,03:00,,,,969.61,0.5,85.29,167.43,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,03:00,02-Aug-2021,04:00,,,,969.6,0.5,87.11,71.34,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,04:00,02-Aug-2021,05:00,,,,969.82,0.49,89.93,93.95,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,05:00,02-Aug-2021,06:00,,,,970.21,0.44,89.65,180.95,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,06:00,02-Aug-2021,07:00,,,,970.81,6.27,88.97,155.1,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,07:00,02-Aug-2021,08:00,,,,971.39,46.91,87.97,138.98,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,08:00,02-Aug-2021,09:00,,,,972.13,83.05,86.51,138.66,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,09:00,02-Aug-2021,10:00,,,,972.52,166.7,84.57,122.12,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,10:00,02-Aug-2021,11:00,,,,972.59,317.38,81.16,123.56,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,11:00,02-Aug-2021,12:00,,,,972.57,430.55,78.53,122.38,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,12:00,02-Aug-2021,13:00,,,,971.93,345.49,75.96,103.2,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,13:00,02-Aug-2021,14:00,,,,971.31,384.12,84.21,50.19,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,14:00,02-Aug-2021,15:00,,,,970.52,435.83,81.6,127.82,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,15:00,02-Aug-2021,16:00,,,,970.16,96.5,78.98,67.82,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,16:00,02-Aug-2021,17:00,,,,969.84,279.52,74.74,50.95,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,17:00,02-Aug-2021,18:00,,,,969.9,58.84,78.37,49.35,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,18:00,02-Aug-2021,19:00,,,,970.19,20.13,84.64,75.31,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,19:00,02-Aug-2021,20:00,,,,970.7,0.67,88.28,128.22,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,20:00,02-Aug-2021,21:00,,,,971.52,0.5,88.34,69.3,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,21:00,02-Aug-2021,22:00,,,,972.16,0.5,86.95,45.13,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,22:00,02-Aug-2021,23:00,,,,972.23,0.5,88.4,55.66,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",02-Aug-2021,23:00,03-Aug-2021,00:00,,,,972.0,0.5,89.44,57.29,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",03-Aug-2021,00:00,03-Aug-2021,01:00,,,,971.88,0.5,89.82,55.21,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",03-Aug-2021,01:00,03-Aug-2021,02:00,,,,971.88,0.5,90.7,58.95,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",03-Aug-2021,02:00,03-Aug-2021,03:00,,,,971.59,0.5,89.96,56.65,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",03-Aug-2021,03:00,03-Aug-2021,04:00,,,,971.43,0.49,89.4,79.8,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",03-Aug-2021,04:00,03-Aug-2021,05:00,,,,971.69,0.43,90.96,57.88,0.0,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",03-Aug-2021,05:00,03-Aug-2021,06:00,,,,972.25,0.81,92.53,69.93,0.0,,,,,,,,,,,,
