AQ_106_Aug21_July22
Station Name,From,FT,To,TT,"PM10 (ug/m3)","PM2.5(ug/m3)","AT()","BP(mmHg)","SR(W/mt2)","RH(%)","WD(degree)","RF(mm)","NO(ug/m3)","NOx(ppb)","NO2(ug/m3)","NH3(ug/m3)","SO2(ug/m3)","CO(mg/m3)","Ozone(ug/m3)","Benzene()","Toluene()","Xylene()","MP-Xylene()","Eth-Xylene()"
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,00:00,01-Aug-2021,01:00,119.6,25.78,,,,,,,15.6,48.08,32.47,,,0.81,9.26,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,01:00,01-Aug-2021,02:00,105.04,38.67,,,,,,,16.91,44.4,27.48,,,0.81,9.92,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,02:00,01-Aug-2021,03:00,88.89,39.24,,,,,,,13.92,38.66,24.73,,,0.59,9.6,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,03:00,01-Aug-2021,04:00,54.01,22.95,,,,,,,11.38,34.9,23.54,,,0.66,9.74,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,04:00,01-Aug-2021,05:00,78.29,25.66,,,,,,,13.67,39.68,26.0,,,0.68,9.52,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,05:00,01-Aug-2021,06:00,58.53,21.64,,,,,,,15.15,40.62,25.47,,,0.59,9.69,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,06:00,01-Aug-2021,07:00,395.68,18.89,,,,,,,9.01,28.46,19.44,,,0.45,11.63,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,07:00,01-Aug-2021,08:00,173.34,0.98,,,,,,,8.61,28.09,19.49,,,0.46,11.92,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,08:00,01-Aug-2021,09:00,6.96,5.09,,,,,,,16.4,42.25,25.85,,,0.51,9.79,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,09:00,01-Aug-2021,10:00,17.6,6.87,,,,,,,19.33,44.59,25.26,,,0.5,10.21,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,10:00,01-Aug-2021,11:00,18.85,6.44,,,,,,,22.52,56.75,34.25,,,0.58,10.12,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,11:00,01-Aug-2021,12:00,18.63,9.88,,,,,,,21.81,56.96,35.13,,,0.67,11.62,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,12:00,01-Aug-2021,13:00,35.74,21.46,,,,,,,14.66,41.04,26.36,,,0.6,13.67,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,13:00,01-Aug-2021,14:00,46.3,24.07,,,,,,,6.81,32.37,25.56,,,0.61,19.26,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,14:00,01-Aug-2021,15:00,54.37,26.92,,,,,,,5.81,33.57,27.76,,,0.64,22.05,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,15:00,01-Aug-2021,16:00,66.8,28.09,,,,,,,5.57,33.26,27.7,,,0.74,29.75,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,16:00,01-Aug-2021,17:00,52.27,31.12,,,,,,,6.18,34.04,27.86,,,0.67,24.01,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,17:00,01-Aug-2021,18:00,46.0,20.15,,,,,,,9.59,43.92,34.33,,,0.62,17.99,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,18:00,01-Aug-2021,19:00,41.63,17.16,,,,,,,8.02,42.67,34.65,,,0.65,15.97,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,19:00,01-Aug-2021,20:00,43.85,11.0,,,,,,,29.99,81.79,51.85,,,0.89,9.72,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,20:00,01-Aug-2021,21:00,61.45,21.99,,,,,,,28.99,88.06,59.05,,,1.13,9.61,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,21:00,01-Aug-2021,22:00,100.18,24.58,,,,,,,35.63,96.85,61.2,,,1.48,10.14,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,22:00,01-Aug-2021,23:00,143.11,37.81,,,,,,,41.27,106.95,65.7,,,1.86,10.67,,,,,
"IGI Airport (T3), Delhi - IMD",01-Aug-2021,23:00,02-Aug-2021,00:00,130.24,53.61,,,,,,,39.53,99.84,60.27,,,2.16,10.46,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,00:00,02-Aug-2021,01:00,117.09,45.8,,,,,,,38.89,97.05,58.19,,,2.14,10.69,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,01:00,02-Aug-2021,02:00,113.94,49.26,,,,,,,48.02,109.47,61.5,,,2.26,12.55,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,02:00,02-Aug-2021,03:00,119.23,53.05,,,,,,,53.16,113.36,60.17,,,2.41,13.22,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,03:00,02-Aug-2021,04:00,127.37,56.96,,,,,,,41.54,98.27,56.71,,,2.14,14.16,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,04:00,02-Aug-2021,05:00,124.61,60.78,,,,,,,29.45,78.32,48.88,,,1.87,11.97,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,05:00,02-Aug-2021,06:00,115.25,81.31,,,,,,,32.88,78.43,45.52,,,1.52,11.34,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,06:00,02-Aug-2021,07:00,74.86,51.95,,,,,,,33.42,75.01,41.6,,,1.28,10.98,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,07:00,02-Aug-2021,08:00,79.5,41.44,,,,,,,34.56,72.54,37.99,,,1.25,11.67,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,08:00,02-Aug-2021,09:00,59.93,35.55,,,,,,,18.35,49.01,30.62,,,1.04,11.76,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,09:00,02-Aug-2021,10:00,75.07,47.26,,,,,,,14.05,43.82,29.76,,,1.12,15.41,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,10:00,02-Aug-2021,11:00,39.69,19.24,,,,,,,11.7,35.18,23.48,,,0.64,14.58,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,11:00,02-Aug-2021,12:00,39.78,20.42,,,,,,,12.45,41.48,29.03,,,0.73,20.44,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,12:00,02-Aug-2021,13:00,56.46,33.33,,,,,,,6.13,34.17,28.03,,,0.82,41.41,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,13:00,02-Aug-2021,14:00,91.66,52.37,,,,,,,5.69,33.4,27.71,,,0.73,39.58,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,14:00,02-Aug-2021,15:00,77.3,42.89,,,,,,,10.11,39.39,29.29,,,0.61,15.08,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,15:00,02-Aug-2021,16:00,33.14,23.89,,,,,,,10.0,43.96,33.98,,,0.75,13.85,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,16:00,02-Aug-2021,17:00,15.92,9.62,,,,,,,16.99,71.25,54.24,,,0.81,11.26,,,,,
"IGI Airport (T3), Delhi - IMD",02-Aug-2021,17:00,02-Aug-2021,18:00,27.51,10.4,,,,,,,9.4,46.42,37.01,,,1.06,12.6,,,,,
