AQ_114_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"IHBAS, Dilshad Garden, Delhi - CPCB",01-Aug-2021,00:00,01-Aug-2021,01:00,54.08,37.48,,,14.38,91.51,154.67,,36.58,33.09,7.31,57.2,0.86,0.43,9.63,4.43,9.66,2.17,3.63,3.39
"IHBAS, Dilshad Garden, Delhi - CPCB",01-Aug-2021,01:00,01-Aug-2021,02:00,61.27,22.5,,,13.75,91.35,268.04,,42.03,40.87,14.29,54.35,0.86,0.44,9.8,4.41,11.47,2.21,3.71,3.41
"IHBAS, Dilshad Garden, Delhi - CPCB",01-Aug-2021,02:00,01-Aug-2021,03:00,67.32,21.9,,,13.98,93.79,234.06,,38.98,42.36,21.36,44.91,0.86,0.4,9.84,3.96,13.67,2.33,3.98,3.5
"IHBAS, Dilshad Garden, Delhi - CPCB",01-Aug-2021,03:00,01-Aug-2021,04:00,71.54,56.5,,,14.3,94.77,222.71,,29.84,32.2,15.92,45.53,0.86,0.26,9.68,3.95,14.37,2.31,3.98,3.52
"IHBAS, Dilshad Garden, Delhi - CPCB",01-Aug-2021,04:00,01-Aug-2021,05:00,70.59,32.12,,,14.43,93.13,219.39,,11.71,16.09,12.86,57.71,0.86,0.44,9.68,3.94,11.91,2.15,3.65,3.42
"IHBAS, Dilshad Garden, Delhi - CPCB",01-Aug-2021,05:00,01-Aug-2021,06:00,51.41,21.5,,,14.73,98.27,237.38,,10.73,17.83,17.66,60.06,0.86,0.27,9.84,3.9,9.04,1.93,3.13,3.27
"IHBAS, Dilshad Garden, Delhi - CPCB",01-Aug-2021,06:00,01-Aug-2021,07:00,37.74,12.68,,,14.73,98.62,198.97,,29.63,34.87,21.32,108.71,0.86,0.1,10.03,3.9,8.61,1.8,2.91,3.2
"IHBAS, Dilshad Garden, Delhi - CPCB",01-Aug-2021,07:00,01-Aug-2021,08:00,30.56,10.57,,,15.2,98.85,98.86,,23.91,28.77,18.42,93.76,0.86,0.1,10.5,3.9,8.6,1.8,2.9,3.2
"IHBAS, Dilshad Garden, Delhi - CPCB",01-Aug-2021,08:00,01-Aug-2021,09:00,25.19,8.6,,,18.18,98.85,220.48,,7.2,11.91,11.79,77.39,21.98,0.62,10.57,3.47,7.05,1.45,2.52,2.77
"IHBAS, Dilshad Garden, Delhi - CPCB",01-Aug-2021,09:00,01-Aug-2021,10:00,20.66,8.6,,,35.55,98.85,193.68,,10.51,13.53,9.79,92.81,23.7,0.97,9.89,2.8,4.6,0.88,1.9,2.1
