AQ_117_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"ITO, Delhi - CPCB",01-Aug-2021,00:00,01-Aug-2021,01:00,280.0,98.25,,,,,,,10.98,16.73,14.68,17.8,8.02,2.98,17.05,14.04,44.51,,22.03,7.55
"ITO, Delhi - CPCB",01-Aug-2021,01:00,01-Aug-2021,02:00,285.25,93.75,,,,,,,11.1,16.98,14.97,17.68,7.2,2.8,16.0,12.79,43.0,,20.77,7.25
"ITO, Delhi - CPCB",01-Aug-2021,02:00,01-Aug-2021,03:00,232.0,88.5,,,,,,,11.3,17.25,15.1,17.48,7.85,2.67,16.2,12.17,41.91,,20.07,7.06
"ITO, Delhi - CPCB",01-Aug-2021,03:00,01-Aug-2021,04:00,167.25,81.25,,,,,,,11.35,17.18,14.9,17.62,8.62,2.27,15.7,17.64,56.31,,27.86,9.63
"ITO, Delhi - CPCB",01-Aug-2021,04:00,01-Aug-2021,05:00,193.25,76.75,,,,,,,11.65,17.4,14.93,17.7,8.12,1.47,15.5,26.33,76.85,,37.3,12.87
"ITO, Delhi - CPCB",01-Aug-2021,05:00,01-Aug-2021,06:00,130.25,56.33,,,,,,,10.1,15.6,13.88,16.98,5.2,0.24,16.15,30.13,85.18,,40.5,14.04
"ITO, Delhi - CPCB",01-Aug-2021,06:00,01-Aug-2021,07:00,23.0,,,,,,,,9.67,15.25,13.88,17.15,7.3,0.2,16.3,24.18,65.88,,33.23,11.11
"ITO, Delhi - CPCB",01-Aug-2021,07:00,01-Aug-2021,08:00,26.0,17.0,,,,,,,9.82,15.48,14.05,16.9,7.0,0.36,16.73,24.69,65.0,,34.14,11.09
"ITO, Delhi - CPCB",01-Aug-2021,08:00,01-Aug-2021,09:00,39.33,13.5,,,,,,,10.7,16.1,13.97,17.87,7.02,0.5,17.2,34.01,86.71,,45.31,14.69
"ITO, Delhi - CPCB",01-Aug-2021,09:00,01-Aug-2021,10:00,40.5,16.0,,,,,,,11.0,17.1,15.32,17.52,6.4,0.62,17.7,39.18,98.8,,51.5,16.67
"ITO, Delhi - CPCB",01-Aug-2021,10:00,01-Aug-2021,11:00,,,,,,,,,10.25,16.35,15.05,17.38,6.42,0.64,17.38,43.89,109.74,,57.17,18.48
"ITO, Delhi - CPCB",01-Aug-2021,11:00,01-Aug-2021,12:00,22.0,15.0,,,,,,,10.97,17.07,15.4,17.43,6.12,0.49,16.8,44.18,110.02,,57.18,18.51
"ITO, Delhi - CPCB",01-Aug-2021,12:00,01-Aug-2021,13:00,39.0,12.0,,,,,,,11.12,16.95,14.87,17.8,5.7,0.47,15.88,24.74,64.44,,34.64,10.9
"ITO, Delhi - CPCB",01-Aug-2021,13:00,01-Aug-2021,14:00,101.25,57.25,,,,,,,9.78,15.62,14.42,17.82,6.03,0.75,16.3,14.3,41.14,,23.26,6.92
