AQ_1423_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,,54.75,32.9,976.25,2.85,85.78,33.5,0.0,66.17,71.92,33.72,39.75,7.55,1.8,10.07,,35.25,13.1,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,,62.75,32.83,975.83,2.62,88.03,183.18,0.0,74.58,75.3,27.25,39.85,7.57,1.73,19.2,,34.45,14.17,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,,60.25,32.7,975.7,2.83,89.12,55.1,0.0,81.0,81.0,28.0,37.6,4.9,1.3,9.45,,33.73,13.38,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,,57.75,32.55,975.32,2.75,89.85,70.12,0.0,85.67,87.0,32.2,34.62,5.45,1.18,11.6,,32.8,12.57,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,,62.5,32.67,975.15,2.65,88.47,152.65,0.0,91.48,91.6,31.98,37.8,6.05,1.02,9.85,,33.35,11.75,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,91.0,51.0,32.3,975.62,2.52,85.98,111.75,1.88,87.25,86.53,28.95,41.5,6.08,0.82,11.27,,36.28,11.25,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,71.0,48.0,30.12,976.75,3.5,93.08,112.3,13.62,67.62,70.12,28.18,54.9,5.43,0.67,5.98,,35.65,10.4,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,10.25,,30.3,977.3,3.8,93.4,100.5,3.0,52.23,61.0,34.6,83.22,,0.7,4.62,,32.85,10.2,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,8.75,,,,,,,,52.1,72.4,56.2,94.68,,0.6,3.65,,29.3,8.38,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,14.25,2.0,,,,,,,,,,114.6,,0.6,3.88,,26.85,4.65,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,23.5,4.5,,,,,,,,,,128.55,,0.63,4.17,,25.27,0.0,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,29.0,16.0,,,,,,,,,,129.6,,0.65,9.53,,23.73,0.0,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,54.25,34.25,34.45,975.5,276.2,74.15,228.8,0.0,75.87,79.87,33.9,35.05,,0.67,13.0,,25.95,7.3,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,67.0,59.25,34.5,975.25,258.4,73.72,336.45,0.0,63.62,71.5,36.85,34.3,9.6,0.8,12.28,,25.03,6.65,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,55.0,67.0,34.97,974.62,280.52,72.0,344.2,0.0,56.4,66.55,38.62,38.8,8.53,0.8,11.97,,25.05,5.45,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,60.75,32.75,34.38,974.0,188.38,74.22,332.25,0.0,52.17,65.22,42.65,42.45,7.15,0.7,11.25,,26.55,4.25,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,81.25,30.5,34.57,973.55,143.35,72.75,200.45,0.0,49.28,60.67,38.58,43.53,7.62,0.7,10.0,,28.6,3.35,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,90.25,32.25,34.73,973.35,87.0,72.67,62.8,0.0,48.8,61.62,41.0,44.5,7.82,0.7,9.62,,33.3,3.62,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,84.0,25.75,33.67,973.85,25.6,78.25,138.68,0.0,48.8,61.87,41.55,43.48,7.8,0.7,9.15,,36.17,3.1,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,19:00,01-Aug-2021,20:00,76.5,38.5,32.7,974.58,3.53,84.45,75.95,0.0,48.05,62.38,43.6,42.88,8.07,0.73,8.5,,34.7,2.95,,
"Jahangirpuri, Delhi - DPCC",01-Aug-2021,20:00,01-Aug-2021,21:00,85.0,54.25,32.48,975.05,2.65,86.55,87.22,0.0,48.65,62.38,42.75,42.35,6.12,0.85,7.25,,32.2,4.25,,
