AQ_1424_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Jawaharlal Nehru Stadium, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,124.0,48.0,31.05,977.12,12.18,84.4,227.78,0.0,23.32,29.07,18.95,17.05,6.25,2.75,10.9,0.5,29.45,10.02,,
"Jawaharlal Nehru Stadium, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,127.0,42.0,31.0,976.67,12.2,86.05,221.7,0.0,25.52,29.82,16.98,21.55,7.1,2.9,6.3,0.58,30.67,11.25,,
"Jawaharlal Nehru Stadium, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,117.0,42.0,31.0,976.65,12.2,85.45,255.45,0.0,24.5,28.9,16.7,25.0,8.9,2.3,5.33,0.6,31.62,11.8,,
"Jawaharlal Nehru Stadium, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,103.0,41.0,30.98,976.25,12.03,85.05,250.77,0.0,19.98,26.35,18.9,17.6,6.1,1.78,6.25,0.5,27.38,9.77,,
"Jawaharlal Nehru Stadium, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,116.0,40.0,31.1,976.23,12.27,83.05,260.3,0.12,7.67,15.75,20.9,17.5,4.27,0.95,8.48,0.4,19.4,6.78,,
"Jawaharlal Nehru Stadium, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,75.0,35.0,30.47,976.2,12.43,81.72,224.73,1.12,0.25,9.33,17.6,19.15,4.08,0.5,14.72,0.3,19.27,6.08,,
"Jawaharlal Nehru Stadium, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,23.0,16.0,28.7,978.33,13.35,87.53,159.88,1.88,0.97,8.57,14.65,23.2,2.1,0.38,9.25,0.55,7.43,0.93,,
"Jawaharlal Nehru Stadium, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,2.0,,28.67,978.6,14.22,89.0,109.47,2.5,0.97,8.95,15.35,21.38,2.1,0.3,7.38,0.35,4.38,0.45,,
"Jawaharlal Nehru Stadium, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,,,28.92,978.2,19.27,89.55,198.12,0.5,1.65,10.77,17.75,17.93,1.15,0.47,3.75,0.3,3.2,0.35,,
"Jawaharlal Nehru Stadium, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,5.0,3.0,29.2,977.92,49.7,89.38,134.1,0.62,3.88,12.82,18.2,15.88,0.75,0.57,2.73,0.33,4.38,0.57,,
