AQ_109_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Lodhi Road, Delhi - IMD",01-Aug-2021,00:00,01-Aug-2021,01:00,80.32,35.57,,,,,,,42.55,50.84,8.31,,,2.68,8.15,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,01:00,01-Aug-2021,02:00,85.21,42.97,,,,,,,47.64,55.55,7.91,,,2.81,7.1,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,02:00,01-Aug-2021,03:00,87.9,39.64,,,,,,,49.35,57.1,7.75,,,2.85,6.66,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,03:00,01-Aug-2021,04:00,79.63,37.39,,,,,,,49.29,57.05,7.74,,,2.82,6.4,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,04:00,01-Aug-2021,05:00,86.15,39.21,,,,,,,39.53,47.86,8.32,,,2.59,6.19,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,05:00,01-Aug-2021,06:00,52.75,26.96,,,,,,,31.67,40.71,9.03,,,2.41,6.36,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,06:00,01-Aug-2021,07:00,22.7,11.07,,,,,,,26.01,35.56,9.54,,,2.26,5.99,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,07:00,01-Aug-2021,08:00,5.45,1.49,,,,,,,22.9,32.71,9.81,,,2.17,5.87,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,08:00,01-Aug-2021,09:00,,0.87,,,,,,,20.44,30.37,9.92,,,2.12,5.93,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,09:00,01-Aug-2021,10:00,9.57,2.98,,,,,,,20.08,30.04,9.96,,,2.09,5.88,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,10:00,01-Aug-2021,11:00,8.94,6.58,,,,,,,18.99,28.98,9.99,,,2.07,5.94,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,11:00,01-Aug-2021,12:00,13.72,9.23,,,,,,,17.75,27.77,10.02,,,2.04,5.95,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,12:00,01-Aug-2021,13:00,23.22,11.12,,,,,,,16.61,26.75,10.13,,,2.01,5.91,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,13:00,01-Aug-2021,14:00,35.55,27.46,,,,,,,13.52,24.6,11.07,,,1.99,6.54,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,14:00,01-Aug-2021,15:00,62.73,37.25,,,,,,,10.7,22.59,11.88,,,1.96,7.28,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,15:00,01-Aug-2021,16:00,53.78,34.95,,,,,,,8.57,20.99,12.42,,,1.95,7.86,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,16:00,01-Aug-2021,17:00,78.47,44.96,,,,,,,6.72,19.61,12.89,,,1.94,8.29,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,17:00,01-Aug-2021,18:00,67.4,36.05,,,,,,,5.44,18.34,12.9,,,1.93,7.83,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,18:00,01-Aug-2021,19:00,62.49,31.81,,,,,,,4.92,17.15,12.24,,,1.94,6.61,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,19:00,01-Aug-2021,20:00,60.03,27.13,,,,,,,5.72,17.42,11.71,,,1.99,6.01,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,20:00,01-Aug-2021,21:00,46.51,22.83,,,,,,,12.51,23.57,11.07,,,2.14,6.01,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,21:00,01-Aug-2021,22:00,75.08,28.03,,,,,,,15.65,26.51,10.86,,,2.23,6.03,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,22:00,01-Aug-2021,23:00,70.01,28.71,,,,,,,22.6,32.81,10.21,,,2.35,6.04,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",01-Aug-2021,23:00,02-Aug-2021,00:00,88.32,40.22,,,,,,,26.13,36.32,10.19,,,2.6,6.32,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,00:00,02-Aug-2021,01:00,107.63,61.56,,,,,,,27.65,37.83,10.18,,,2.71,6.57,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,01:00,02-Aug-2021,02:00,108.22,63.99,,,,,,,30.01,39.81,9.8,,,2.82,7.04,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,02:00,02-Aug-2021,03:00,91.3,54.43,,,,,,,31.78,41.21,9.44,,,2.9,7.67,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,03:00,02-Aug-2021,04:00,94.24,53.09,,,,,,,32.5,41.87,9.37,,,2.97,8.08,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,04:00,02-Aug-2021,05:00,95.64,58.98,,,,,,,33.9,43.09,9.2,,,3.04,11.42,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,05:00,02-Aug-2021,06:00,107.03,59.5,,,,,,,34.45,43.52,9.07,,,3.08,19.81,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,06:00,02-Aug-2021,07:00,107.75,63.85,,,,,,,33.87,42.95,9.09,,,3.07,21.13,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,07:00,02-Aug-2021,08:00,88.87,48.46,,,,,,,33.07,42.27,9.2,,,2.96,13.73,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,08:00,02-Aug-2021,09:00,55.03,35.21,,,,,,,28.82,38.31,9.48,,,2.74,7.38,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,09:00,02-Aug-2021,10:00,38.92,24.78,,,,,,,25.62,35.97,10.35,,,2.59,6.74,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,10:00,02-Aug-2021,11:00,32.88,17.54,,,,,,,22.83,33.41,10.57,,,2.47,6.34,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,11:00,02-Aug-2021,12:00,78.06,38.24,,,,,,,19.45,30.49,11.04,,,2.41,8.91,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,12:00,02-Aug-2021,13:00,90.89,46.15,,,,,,,15.96,27.92,11.95,,,2.3,7.27,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,13:00,02-Aug-2021,14:00,79.38,38.25,,,,,,,12.57,25.0,12.42,,,2.19,6.86,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,14:00,02-Aug-2021,15:00,55.14,32.21,,,,,,,10.89,23.0,12.11,,,2.14,6.16,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,15:00,02-Aug-2021,16:00,46.21,30.86,,,,,,,9.61,21.49,11.88,,,2.07,6.15,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,16:00,02-Aug-2021,17:00,46.8,23.42,,,,,,,9.78,21.26,11.49,,,2.08,6.13,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,17:00,02-Aug-2021,18:00,54.15,20.33,,,,,,,10.44,22.07,11.63,,,2.15,6.35,0.0,0.0,0.0,,
"Lodhi Road, Delhi - IMD",02-Aug-2021,18:00,02-Aug-2021,19:00,64.69,24.96,,,,,,,9.95,21.48,11.53,,,2.1,5.92,0.0,0.0,0.0,,
