AQ_1425_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Major Dhyan Chand National Stadium, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,141.5,57.0,32.12,976.35,1.57,83.8,230.28,0.0,141.05,161.03,19.08,35.3,6.5,2.7,58.7,0.3,4.7,1.58,,
"Major Dhyan Chand National Stadium, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,117.5,45.0,32.05,976.0,1.77,84.42,187.62,0.0,149.7,168.22,18.52,33.28,5.7,2.7,31.0,0.22,3.8,1.6,,
"Major Dhyan Chand National Stadium, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,111.5,43.25,31.95,975.8,1.5,84.38,224.25,0.0,123.7,140.9,18.65,76.55,4.5,1.85,18.27,0.2,3.3,1.52,,
"Major Dhyan Chand National Stadium, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,103.25,35.5,31.8,975.45,1.5,84.1,222.7,0.0,113.7,129.8,16.15,52.67,4.78,1.7,6.5,0.2,2.5,1.23,,
"Major Dhyan Chand National Stadium, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,89.75,27.75,31.85,975.33,1.42,83.97,237.22,0.0,84.78,97.05,12.35,45.27,5.1,1.2,3.5,0.2,2.08,0.9,,
"Major Dhyan Chand National Stadium, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,67.75,23.0,31.12,975.85,1.73,81.6,183.6,0.12,34.95,44.62,9.6,40.12,4.62,0.75,2.97,0.1,1.3,0.47,,
"Major Dhyan Chand National Stadium, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,18.75,9.75,29.97,977.42,2.5,83.95,143.03,0.12,18.22,25.52,7.33,42.2,4.37,0.7,3.0,0.0,0.18,0.0,,
"Major Dhyan Chand National Stadium, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,9.0,6.0,29.65,977.62,3.57,86.47,76.25,2.25,13.53,23.82,10.32,41.9,4.67,0.68,2.58,0.0,0.1,0.0,,
"Major Dhyan Chand National Stadium, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,,,29.83,977.35,8.43,87.72,34.48,0.88,14.47,29.88,15.38,58.95,4.62,0.77,2.0,0.0,0.2,0.05,,
"Major Dhyan Chand National Stadium, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,,,30.05,977.08,36.2,88.25,44.05,0.25,24.1,41.9,17.77,85.65,4.62,0.9,2.35,0.0,0.35,0.1,,
