AQ_1561_Aug21_July22_N
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Mundka, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,293.75,40.75,33.27,974.65,5.85,77.3,65.83,0.0,97.45,120.8,77.97,82.95,17.48,0.6,12.4,5.65,54.15,12.0,,
"Mundka, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,153.5,29.25,33.2,974.27,5.88,78.85,106.6,0.0,77.42,96.4,62.6,86.85,21.35,0.53,,4.3,88.83,48.75,,
"Mundka, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,106.0,24.25,32.95,974.12,5.83,81.1,48.43,0.0,83.7,107.6,74.85,89.85,19.7,0.45,27.15,3.23,82.3,54.8,,
"Mundka, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,128.25,27.5,32.7,973.8,5.8,82.55,81.07,0.0,54.42,77.6,62.4,111.2,20.75,0.5,14.77,3.15,36.85,17.82,,
"Mundka, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,85.75,33.5,32.45,973.72,5.77,82.45,98.7,0.0,34.7,56.6,53.42,91.05,17.88,0.43,8.2,4.25,49.27,16.45,,
"Mundka, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,47.0,24.75,31.53,974.1,5.78,85.33,149.85,1.95,10.58,31.52,43.27,78.58,17.52,0.38,9.43,2.83,35.25,8.1,,
"Mundka, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,23.0,12.0,30.38,975.27,6.73,87.33,294.1,1.02,7.18,23.93,33.88,66.15,18.5,0.3,,1.52,17.02,1.83,,
"Mundka, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,3.0,,30.35,975.7,9.68,87.47,313.7,0.35,7.6,24.25,33.9,55.78,22.9,0.4,7.43,1.67,11.9,1.82,,
"Mundka, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,3.5,1.0,30.5,975.5,21.88,87.22,221.85,0.15,6.9,25.0,36.33,55.83,23.98,0.45,7.73,1.93,15.97,2.12,,
"Mundka, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,8.5,2.75,30.97,975.08,82.33,85.85,297.98,0.07,13.78,31.2,37.5,58.77,26.1,0.57,5.0,4.3,17.02,4.28,,
"Mundka, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,21.5,11.0,32.33,975.05,196.18,79.55,38.08,0.0,22.08,39.58,40.6,67.82,24.85,0.6,7.2,5.65,31.3,8.2,,
