AQ_115_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,00:00,01-Aug-2021,01:00,163.82,40.16,,,5.43,85.3,234.62,,36.5,43.3,26.52,51.32,9.5,0.28,13.36,6.2,9.95,,2.18,2.81
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,01:00,01-Aug-2021,02:00,148.29,35.94,,,4.92,87.43,246.91,,15.39,24.49,22.9,45.33,4.41,0.19,13.93,6.27,9.89,,2.17,2.78
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,02:00,01-Aug-2021,03:00,123.44,23.35,,,5.07,86.82,273.81,,13.67,22.6,21.93,42.78,3.66,0.48,14.04,6.35,9.96,,2.19,2.8
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,03:00,01-Aug-2021,04:00,81.84,16.5,,,4.92,87.12,177.63,,12.55,21.19,20.96,41.74,2.88,0.42,14.71,6.26,9.94,,2.23,2.73
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,04:00,01-Aug-2021,05:00,62.76,14.32,,,5.4,86.95,278.41,,19.65,27.44,22.02,43.14,2.36,0.55,14.32,6.31,9.91,,2.17,2.8
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,05:00,01-Aug-2021,06:00,75.77,14.25,,,5.62,88.12,283.75,,12.07,20.92,21.17,43.28,5.06,0.41,17.79,6.3,9.92,,2.24,2.79
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,06:00,01-Aug-2021,07:00,74.59,23.56,,,7.6,97.95,92.18,,7.32,12.69,12.85,43.87,4.47,0.58,25.2,6.21,9.92,,2.21,2.82
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,07:00,01-Aug-2021,08:00,46.74,23.91,,,11.15,97.88,129.91,,8.76,13.78,12.72,42.12,4.16,0.79,23.38,6.28,9.94,,2.2,2.79
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,08:00,01-Aug-2021,09:00,32.26,17.46,,,17.3,96.97,64.61,,7.51,14.8,16.52,39.23,3.51,0.74,19.12,3.94,6.05,,1.57,1.97
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,09:00,01-Aug-2021,10:00,30.62,15.91,,,74.9,97.0,127.45,,9.1,17.09,18.43,40.81,5.46,1.24,18.46,1.9,2.82,,1.02,1.21
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,10:00,01-Aug-2021,11:00,33.73,12.87,,,133.35,93.88,279.78,,12.73,22.48,23.12,41.62,6.3,0.97,16.57,1.91,2.78,,1.01,1.2
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,11:00,01-Aug-2021,12:00,34.73,9.28,,,261.5,89.38,310.47,,11.2,21.14,22.9,39.88,6.31,0.15,20.62,1.91,2.81,,1.0,1.2
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,12:00,01-Aug-2021,13:00,48.05,10.1,,,444.48,80.67,310.08,,8.12,16.31,18.44,36.41,4.91,0.15,26.8,1.9,2.78,,1.01,1.19
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,13:00,01-Aug-2021,14:00,35.19,11.56,,,173.23,79.83,344.01,,6.1,13.92,16.99,36.09,4.02,0.15,33.84,1.91,2.83,,0.99,1.22
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,14:00,01-Aug-2021,15:00,38.12,10.56,,,188.1,80.83,94.45,,5.14,13.71,18.04,36.84,3.36,2.43,37.54,1.9,2.79,,0.98,1.21
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,15:00,01-Aug-2021,16:00,44.37,18.45,,,174.45,79.85,21.35,,6.07,12.67,14.69,35.58,2.89,5.1,36.73,1.9,2.81,,1.0,1.22
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,16:00,01-Aug-2021,17:00,52.95,20.56,,,106.72,78.38,127.81,,5.44,13.35,16.91,35.49,2.72,6.23,34.59,1.9,2.79,,1.0,1.21
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,17:00,01-Aug-2021,18:00,50.02,16.57,,,92.08,71.25,111.29,,4.08,12.77,17.86,36.5,4.69,0.7,32.36,1.9,2.79,,0.99,1.22
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,18:00,01-Aug-2021,19:00,57.55,17.84,,,39.55,70.8,108.36,,6.51,14.17,16.85,37.02,4.46,0.81,31.9,1.88,2.82,,1.0,1.23
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,19:00,01-Aug-2021,20:00,49.22,16.59,,,4.38,81.35,158.06,,6.59,16.0,20.18,37.34,4.22,0.86,19.36,1.9,2.79,,1.03,1.23
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,20:00,01-Aug-2021,21:00,50.34,22.77,,,5.25,84.28,177.82,,10.14,24.04,29.95,37.36,3.73,0.87,15.62,2.15,3.19,,1.26,1.32
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,21:00,01-Aug-2021,22:00,55.55,22.99,,,5.3,88.38,138.93,,7.57,19.52,25.31,39.75,5.46,0.46,13.56,3.41,5.89,,2.97,2.07
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,22:00,01-Aug-2021,23:00,60.92,24.1,,,4.7,87.8,135.51,,13.08,28.07,33.09,46.95,7.31,0.18,13.76,3.39,5.95,,2.99,2.11
"NSIT Dwarka, Delhi - CPCB",01-Aug-2021,23:00,02-Aug-2021,00:00,72.07,22.51,,,5.17,91.23,123.3,,19.66,36.01,38.13,48.25,9.54,0.68,14.89,3.39,5.98,,3.0,2.08
"NSIT Dwarka, Delhi - CPCB",02-Aug-2021,00:00,02-Aug-2021,01:00,81.71,36.3,,,5.5,92.47,149.93,,37.14,50.88,39.89,44.8,11.47,0.6,15.14,3.42,5.92,,3.0,2.1
