AQ_1426_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Narela, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,152.25,44.25,28.15,975.17,12.62,88.3,111.2,0.0,31.2,48.55,43.5,21.53,3.85,1.78,45.9,0.4,30.0,5.68,,
"Narela, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,166.75,47.0,28.23,974.55,12.25,87.6,169.18,0.0,44.75,55.47,35.8,22.7,4.55,1.93,69.9,0.53,215.82,7.43,,
"Narela, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,218.0,59.75,28.2,974.25,12.3,89.28,210.03,0.0,44.1,53.2,32.5,23.5,,,58.97,0.5,125.82,6.08,,
"Narela, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,204.75,53.5,28.15,973.88,12.3,89.88,225.62,0.0,35.52,44.2,28.6,22.58,3.08,1.55,54.55,0.43,69.27,5.57,,
"Narela, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,156.5,57.75,28.1,973.8,12.58,90.0,238.9,0.0,31.32,40.8,28.6,21.77,3.72,1.52,53.82,0.4,56.77,4.6,,
"Narela, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,157.75,70.75,27.7,973.83,12.85,89.65,254.05,0.0,16.43,30.07,31.38,22.02,3.88,1.43,43.47,0.4,53.45,2.93,,
"Narela, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,125.25,64.0,26.03,975.38,15.45,84.28,129.72,0.0,22.15,32.57,27.25,21.7,4.15,1.1,13.55,0.33,29.55,1.2,,
"Narela, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,26.5,1.0,25.15,976.3,8.35,90.55,88.47,4.12,18.32,28.72,25.95,21.52,3.2,1.08,18.38,0.38,9.88,0.3,,
"Narela, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,13.75,1.0,24.85,976.33,6.88,91.95,90.28,1.62,2.9,10.35,15.05,21.72,2.3,1.03,19.48,0.38,8.47,0.47,,
"Narela, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,9.5,2.5,25.32,975.57,54.1,91.95,128.35,0.62,12.43,21.42,21.25,21.38,3.12,1.27,22.35,0.3,6.35,0.28,,
"Narela, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,17.25,7.5,26.38,975.33,134.65,89.7,162.78,0.12,22.07,31.12,24.65,19.7,3.98,1.27,28.77,0.47,14.7,0.38,,
"Narela, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,24.75,11.5,27.67,974.73,231.18,80.8,264.75,0.0,4.75,13.83,18.62,21.42,4.55,1.22,41.02,0.68,37.88,0.9,,
"Narela, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,40.75,15.75,28.2,974.08,176.43,78.53,274.65,0.0,3.9,9.6,12.07,21.83,4.32,1.22,34.48,0.42,74.68,1.5,,
"Narela, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,29.5,7.25,29.12,973.6,154.43,77.0,289.33,0.0,4.2,10.47,13.25,21.95,3.9,1.2,33.08,0.33,29.38,0.3,,
"Narela, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,43.75,12.25,29.45,972.88,165.03,76.3,316.8,0.0,3.77,13.07,18.77,22.23,4.67,1.33,35.22,0.65,130.12,1.17,,
"Narela, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,72.75,17.75,30.95,972.33,295.25,71.68,259.38,0.0,4.4,13.8,19.17,22.43,5.3,1.1,39.07,1.43,405.7,5.25,,
"Narela, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,64.0,18.75,33.7,972.22,337.02,61.95,158.47,0.0,4.5,10.9,13.6,22.4,4.47,1.18,40.4,0.62,151.12,1.95,,
"Narela, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,91.0,16.5,34.4,972.08,210.5,61.42,158.18,0.0,7.38,18.45,23.4,22.58,4.15,1.15,42.27,0.38,27.38,0.5,,
"Narela, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,218.25,45.75,31.77,972.6,69.9,68.45,101.75,0.0,2.48,11.57,18.05,22.82,4.98,1.18,64.03,0.95,246.78,3.58,,
"Narela, Delhi - DPCC",01-Aug-2021,19:00,01-Aug-2021,20:00,126.0,34.25,29.45,973.3,13.5,80.22,130.38,0.0,6.2,28.8,44.62,23.1,4.02,1.42,43.78,0.5,122.78,2.77,,
