AQ_105_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"North Campus, DU, Delhi - IMD",01-Aug-2021,00:00,01-Aug-2021,01:00,105.23,,,,,,,,,0.05,0.83,,,0.0,13.57,0.08,0.0,0.18,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,01:00,01-Aug-2021,02:00,91.19,,,,,,,,,0.15,1.06,,,0.0,13.41,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,02:00,01-Aug-2021,03:00,92.62,,,,,,,,0.21,0.25,1.18,,,0.0,14.01,0.0,0.0,0.07,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,03:00,01-Aug-2021,04:00,91.49,,,,,,,,,0.06,0.75,,,0.0,14.76,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,04:00,01-Aug-2021,05:00,75.69,,,,,,,,1.17,0.25,1.13,,,0.0,19.37,0.0,0.0,0.19,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,05:00,01-Aug-2021,06:00,29.34,,,,,,,,,0.13,0.89,,,0.0,14.31,0.09,0.0,0.01,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,06:00,01-Aug-2021,07:00,,,,,,,,,,0.13,0.76,,,0.0,14.64,0.0,0.01,0.02,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,07:00,01-Aug-2021,08:00,,,,,,,,,0.04,0.27,0.87,,,0.0,14.64,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,08:00,01-Aug-2021,09:00,,,,,,,,,,0.21,0.85,,,0.0,14.68,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,09:00,01-Aug-2021,10:00,3.51,,,,,,,,1.07,0.33,0.88,,,0.0,14.09,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,10:00,01-Aug-2021,11:00,19.77,,,,,,,,0.12,0.4,0.98,,,0.0,15.54,0.0,0.0,0.01,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,11:00,01-Aug-2021,12:00,24.71,7.42,,,,,,,0.24,0.66,1.13,,,0.0,14.71,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,12:00,01-Aug-2021,13:00,53.39,17.27,,,,,,,0.02,0.75,0.98,,,0.0,19.94,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,13:00,01-Aug-2021,14:00,81.57,32.1,,,,,,,0.05,0.6,0.9,,,0.0,26.15,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,14:00,01-Aug-2021,15:00,61.9,21.17,,,,,,,0.08,0.61,0.9,,,0.0,26.49,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,15:00,01-Aug-2021,16:00,49.26,27.09,,,,,,,0.78,0.6,1.56,,,0.0,24.6,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,16:00,01-Aug-2021,17:00,50.99,12.38,,,,,,,0.08,0.55,1.18,,,0.0,25.51,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,17:00,01-Aug-2021,18:00,71.93,25.56,,,,,,,0.38,0.52,1.17,,,0.0,25.85,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,18:00,01-Aug-2021,19:00,60.48,24.84,,,,,,,0.51,0.38,0.86,,,0.0,17.44,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,19:00,01-Aug-2021,20:00,47.5,13.41,,,,,,,0.05,0.32,0.79,,,0.0,13.48,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,20:00,01-Aug-2021,21:00,57.18,13.73,,,,,,,0.08,0.39,0.88,,,0.0,13.2,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,21:00,01-Aug-2021,22:00,50.62,17.03,,,,,,,,0.42,0.9,,,0.0,13.19,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,22:00,01-Aug-2021,23:00,75.39,30.21,,,,,,,0.1,0.34,0.87,,,0.0,13.57,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",01-Aug-2021,23:00,02-Aug-2021,00:00,101.6,40.85,,,,,,,0.7,0.42,0.88,,,0.0,14.11,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",02-Aug-2021,00:00,02-Aug-2021,01:00,113.18,51.1,,,,,,,,0.42,0.88,,,0.0,22.71,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",02-Aug-2021,01:00,02-Aug-2021,02:00,100.98,61.11,,,,,,,,0.43,0.87,,,0.0,67.53,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",02-Aug-2021,02:00,02-Aug-2021,03:00,118.7,67.4,,,,,,,,0.41,0.87,,,0.0,60.06,0.0,0.0,0.0,,
"North Campus, DU, Delhi - IMD",02-Aug-2021,03:00,02-Aug-2021,04:00,125.49,71.06,,,,,,,,0.43,0.89,,,0.0,34.53,0.0,0.0,0.0,,
