AQ_1563_Aug21_July22_New
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Pusa, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,99.0,33.25,28.23,975.35,4.38,84.15,335.77,0.0,137.7,140.8,55.15,37.1,8.57,2.15,7.25,1.1,25.27,11.62,,
"Pusa, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,92.25,30.5,28.22,974.98,4.4,84.4,335.7,0.0,146.4,146.78,51.53,36.0,10.23,2.18,95.7,1.0,21.65,10.57,,
"Pusa, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,118.75,34.25,28.38,974.83,4.33,82.55,287.68,0.0,,,,,,,17.45,1.1,25.45,11.65,,
"Pusa, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,149.25,43.0,28.3,974.48,4.3,83.67,193.35,0.12,131.88,131.92,45.75,36.65,7.93,0.9,8.55,1.05,29.48,10.53,,
"Pusa, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,62.5,23.5,28.17,974.35,4.17,84.67,185.32,0.0,99.12,108.2,51.42,37.28,7.97,0.55,7.85,0.53,18.38,4.68,,
"Pusa, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,53.5,24.25,27.65,974.95,4.18,83.4,118.8,2.25,63.8,77.9,48.62,37.18,6.77,0.22,7.12,0.53,19.25,4.08,,
"Pusa, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,31.0,13.0,27.1,976.42,5.53,85.9,144.95,0.5,44.98,61.8,47.25,34.85,6.22,0.1,6.57,0.12,3.42,0.47,,
"Pusa, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,,,27.0,976.48,7.68,86.32,94.47,0.12,28.35,44.78,40.73,35.2,5.6,,3.0,0.1,1.15,0.15,,
"Pusa, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,,,27.1,976.27,14.12,86.67,302.53,0.38,22.35,44.0,48.5,30.68,7.75,0.1,5.75,0.12,1.55,0.25,,
"Pusa, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,18.0,14.0,27.25,975.92,67.42,86.43,331.77,0.25,38.55,60.08,53.8,34.35,8.75,0.9,6.82,0.45,13.9,2.9,,
"Pusa, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,18.5,13.5,27.78,975.7,183.95,82.75,57.38,0.0,58.9,74.8,56.0,45.28,8.95,1.38,15.3,0.3,6.72,2.12,,
"Pusa, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,50.75,16.25,28.82,975.4,387.1,72.5,158.55,0.0,97.82,113.12,62.67,45.65,12.0,1.8,11.15,0.75,36.88,10.7,,
"Pusa, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,151.75,33.0,29.5,974.8,505.65,65.4,186.8,0.0,93.75,116.82,75.98,43.07,11.53,1.75,14.8,0.78,31.3,10.12,,
"Pusa, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,176.5,48.0,29.52,974.17,281.38,64.85,210.75,0.0,69.15,102.33,86.4,46.72,12.07,1.83,20.3,0.57,20.52,6.7,,
"Pusa, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,163.5,55.25,29.6,973.53,307.52,63.9,218.42,0.0,43.35,81.53,86.85,45.0,11.33,1.67,23.7,1.0,29.43,9.7,,
"Pusa, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,136.0,47.0,29.52,972.97,234.85,63.97,236.22,0.0,36.35,76.45,87.97,43.32,10.95,1.58,15.7,1.15,27.62,8.5,,
"Pusa, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,126.0,37.5,29.73,972.62,255.73,60.38,261.08,0.0,40.03,82.75,94.3,42.47,9.95,1.3,19.18,1.08,34.47,7.9,,
"Pusa, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,119.5,35.5,29.55,972.35,132.22,60.77,262.5,0.0,55.12,92.2,88.92,41.35,9.55,1.5,17.88,1.18,46.73,11.57,,
"Pusa, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,142.75,34.0,29.27,972.88,64.67,61.05,217.32,0.0,63.45,97.78,86.6,41.33,10.8,1.78,9.52,1.12,44.43,14.3,,
"Pusa, Delhi - DPCC",01-Aug-2021,19:00,01-Aug-2021,20:00,167.0,38.0,28.68,973.6,5.45,71.38,274.65,0.0,102.72,127.9,83.03,42.23,14.3,2.08,14.78,1.88,65.28,22.5,,
"Pusa, Delhi - DPCC",01-Aug-2021,20:00,01-Aug-2021,21:00,162.5,49.25,28.42,974.15,4.43,78.17,337.18,0.0,66.6,96.15,78.75,40.17,10.2,1.53,21.3,1.32,54.62,18.33,,
"Pusa, Delhi - DPCC",01-Aug-2021,21:00,01-Aug-2021,22:00,108.75,47.25,28.23,974.68,4.43,81.55,338.88,0.0,48.67,76.72,69.77,39.92,9.3,1.6,11.5,1.18,44.17,15.33,,
"Pusa, Delhi - DPCC",01-Aug-2021,22:00,01-Aug-2021,23:00,97.5,46.25,28.02,974.8,4.33,81.93,341.37,0.0,56.3,84.7,73.0,38.23,9.45,1.8,4.28,1.12,33.23,12.93,,
"Pusa, Delhi - DPCC",01-Aug-2021,23:00,02-Aug-2021,00:00,111.75,43.25,28.0,974.8,4.28,82.78,341.2,0.0,94.25,111.15,64.58,39.12,10.03,2.38,7.28,1.18,29.08,12.4,,
"Pusa, Delhi - DPCC",02-Aug-2021,00:00,02-Aug-2021,01:00,148.5,53.25,27.92,974.4,4.2,84.72,341.38,0.0,121.83,131.22,59.95,39.28,11.82,2.75,10.95,1.62,37.3,16.9,,
"Pusa, Delhi - DPCC",02-Aug-2021,01:00,02-Aug-2021,02:00,157.5,60.25,27.85,973.8,4.2,85.88,341.4,0.0,134.93,140.23,57.92,40.35,12.5,2.55,68.9,1.67,34.9,17.02,,
"Pusa, Delhi - DPCC",02-Aug-2021,02:00,02-Aug-2021,03:00,114.5,52.75,27.85,973.6,4.2,86.05,341.35,0.0,,,,,,,21.25,1.5,31.35,15.43,,
"Pusa, Delhi - DPCC",02-Aug-2021,03:00,02-Aug-2021,04:00,101.25,55.25,27.85,973.55,4.2,85.9,341.38,0.0,112.65,119.6,52.2,38.47,13.35,1.9,24.28,1.52,32.1,15.25,,
"Pusa, Delhi - DPCC",02-Aug-2021,04:00,02-Aug-2021,05:00,86.5,57.5,27.85,973.92,4.2,84.7,341.4,0.0,97.62,109.65,56.5,38.15,12.28,1.57,28.05,1.38,30.3,13.75,,
"Pusa, Delhi - DPCC",02-Aug-2021,05:00,02-Aug-2021,06:00,111.0,65.0,27.98,974.28,4.8,83.95,343.35,0.0,101.28,111.45,54.4,38.67,14.5,1.98,56.3,1.38,30.92,13.2,,
"Pusa, Delhi - DPCC",02-Aug-2021,06:00,02-Aug-2021,07:00,153.25,73.75,27.95,974.88,16.7,84.6,16.2,0.0,130.4,136.5,56.75,38.05,14.1,1.65,66.4,1.82,41.55,18.05,,
"Pusa, Delhi - DPCC",02-Aug-2021,07:00,02-Aug-2021,08:00,124.75,75.0,28.23,975.4,70.58,84.12,119.35,0.12,157.47,154.95,49.8,38.67,15.93,1.8,85.97,1.6,35.02,15.3,,
"Pusa, Delhi - DPCC",02-Aug-2021,08:00,02-Aug-2021,09:00,106.0,74.0,28.47,976.15,149.35,80.55,12.07,0.0,140.1,147.0,61.07,40.12,6.67,1.13,42.35,1.02,27.55,9.58,,
"Pusa, Delhi - DPCC",02-Aug-2021,09:00,02-Aug-2021,10:00,64.25,49.75,28.68,976.48,134.82,73.3,334.23,0.0,93.65,110.55,64.22,38.0,2.58,0.88,14.55,0.53,15.2,4.75,,
"Pusa, Delhi - DPCC",02-Aug-2021,10:00,02-Aug-2021,11:00,45.75,35.75,29.17,976.52,308.73,65.12,322.48,0.0,50.48,76.12,65.72,36.73,1.07,0.55,21.9,0.4,10.78,1.8,,
