AQ_1430_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Rohini, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,249.5,67.75,29.45,975.4,3.25,80.97,232.8,0.0,94.75,111.28,16.52,40.95,3.9,2.7,14.4,1.37,22.25,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,224.75,66.0,29.42,974.95,2.92,79.25,296.55,0.0,51.83,67.88,16.07,43.9,3.38,1.93,8.8,1.17,20.6,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,183.5,60.0,29.05,974.88,3.33,79.12,246.08,0.0,29.2,42.9,13.7,56.4,3.2,1.3,7.25,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,134.0,52.75,28.75,974.55,3.38,81.25,213.77,0.0,31.48,44.0,12.6,53.27,3.15,1.17,7.1,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,135.25,59.5,28.77,974.4,3.22,81.35,271.0,0.0,23.73,35.38,11.6,47.32,3.53,0.95,4.62,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,118.25,56.5,28.45,974.77,3.4,79.28,215.45,0.25,11.72,20.77,9.07,45.02,5.53,0.7,5.32,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,43.5,26.25,24.82,976.2,4.88,86.03,146.25,8.5,5.03,9.88,4.85,36.65,4.47,0.5,5.45,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,6.5,2.75,24.73,976.75,5.62,87.3,97.05,0.25,6.1,16.85,10.72,39.6,2.85,0.5,4.4,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,8.25,3.25,24.93,976.65,10.8,87.7,41.85,0.88,4.83,13.22,8.35,40.32,2.52,0.5,4.03,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,9.75,8.0,25.25,976.1,66.53,87.53,97.27,0.38,8.08,18.73,10.7,38.95,2.43,0.6,3.67,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,16.5,13.0,26.25,975.9,233.95,85.88,133.25,0.0,8.65,20.9,12.25,40.33,2.5,0.72,4.22,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,37.75,21.25,28.2,975.7,516.6,76.2,210.8,0.0,9.9,26.78,16.93,40.9,3.45,0.88,5.4,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,54.75,26.75,29.65,974.97,321.5,71.12,278.88,0.0,4.4,13.45,9.1,43.47,3.65,0.73,5.38,1.1,9.7,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,36.5,20.5,29.85,974.42,291.77,70.57,303.43,0.0,2.88,8.97,6.1,43.88,3.33,0.57,5.38,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,41.25,16.0,30.03,973.77,298.77,70.05,317.98,0.0,2.4,8.47,6.18,48.7,3.2,0.55,6.75,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,47.75,24.5,30.05,973.15,230.88,69.42,295.15,0.0,2.55,9.18,6.67,53.05,3.22,0.5,5.85,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,40.25,23.0,30.8,972.85,200.38,68.75,230.2,0.0,2.83,11.0,8.2,56.15,3.1,0.53,5.98,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,45.75,20.75,32.77,972.7,217.1,63.15,251.88,0.0,3.25,14.03,10.82,56.22,3.18,0.6,7.15,,,0.25,,
"Rohini, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,40.5,12.75,30.9,973.15,55.55,65.28,225.62,0.0,3.05,12.35,9.32,56.7,2.95,0.6,6.65,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,19:00,01-Aug-2021,20:00,48.25,15.0,29.38,973.83,4.88,74.9,140.45,0.0,5.62,25.45,19.77,57.85,3.0,1.05,4.77,,,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,20:00,01-Aug-2021,21:00,98.5,40.75,29.32,974.35,3.65,77.9,49.23,0.0,9.1,35.65,26.4,59.48,3.2,1.52,5.3,1.0,18.5,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,21:00,01-Aug-2021,22:00,131.75,62.25,28.9,974.85,3.7,78.75,86.17,0.0,14.07,36.67,22.62,57.4,3.15,1.6,5.12,1.1,18.05,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,22:00,01-Aug-2021,23:00,106.5,53.75,28.48,974.93,3.65,79.55,102.2,0.0,22.9,46.1,23.15,54.67,2.9,1.58,4.95,1.1,11.4,0.0,,
"Rohini, Delhi - DPCC",01-Aug-2021,23:00,02-Aug-2021,00:00,97.0,43.0,28.23,975.0,3.65,79.35,96.93,0.0,47.1,68.75,24.6,53.93,2.75,1.7,5.47,1.05,11.15,0.0,,
"Rohini, Delhi - DPCC",02-Aug-2021,00:00,02-Aug-2021,01:00,106.0,46.5,28.0,974.52,3.55,80.72,145.25,0.0,52.12,71.65,19.45,54.05,3.45,1.73,4.75,1.27,12.18,0.0,,
"Rohini, Delhi - DPCC",02-Aug-2021,01:00,02-Aug-2021,02:00,122.75,66.5,27.57,973.8,3.23,82.78,238.53,0.0,64.17,80.52,16.35,52.9,3.4,1.95,8.5,1.55,13.07,0.0,,
"Rohini, Delhi - DPCC",02-Aug-2021,02:00,02-Aug-2021,03:00,119.75,66.25,27.75,973.58,3.03,82.97,269.38,0.0,57.1,67.6,10.5,66.8,3.7,1.9,97.42,1.55,14.6,0.0,,
"Rohini, Delhi - DPCC",02-Aug-2021,03:00,02-Aug-2021,04:00,119.25,59.75,27.8,973.6,3.3,84.2,121.17,0.0,56.35,67.72,11.32,57.3,3.9,1.9,93.55,1.35,14.3,0.0,,
"Rohini, Delhi - DPCC",02-Aug-2021,04:00,02-Aug-2021,05:00,128.0,68.25,28.3,974.03,3.4,81.9,181.93,0.0,50.42,64.57,14.35,51.95,4.33,1.73,99.0,1.4,15.4,0.0,,
"Rohini, Delhi - DPCC",02-Aug-2021,05:00,02-Aug-2021,06:00,169.25,99.5,28.02,974.3,3.95,81.22,285.02,0.0,34.13,48.83,14.25,51.05,3.95,1.42,42.9,1.32,12.15,0.0,,
"Rohini, Delhi - DPCC",02-Aug-2021,06:00,02-Aug-2021,07:00,149.5,93.0,28.15,974.97,19.98,82.9,177.5,0.0,38.78,50.68,11.98,64.0,4.3,1.3,30.8,1.32,11.85,0.0,,
"Rohini, Delhi - DPCC",02-Aug-2021,07:00,02-Aug-2021,08:00,178.25,126.75,28.6,975.35,86.72,81.38,296.92,0.0,32.1,48.28,16.15,56.83,4.6,1.38,21.27,1.48,11.7,0.0,,
"Rohini, Delhi - DPCC",02-Aug-2021,08:00,02-Aug-2021,09:00,163.25,125.0,29.4,976.33,148.18,77.6,163.97,0.0,21.6,40.92,19.35,51.85,4.95,1.23,24.32,1.57,11.05,0.0,,
"Rohini, Delhi - DPCC",02-Aug-2021,09:00,02-Aug-2021,10:00,103.75,75.5,30.08,976.75,208.75,75.1,120.15,0.0,13.07,28.45,15.42,44.62,4.65,1.08,15.97,,,0.0,,
"Rohini, Delhi - DPCC",02-Aug-2021,10:00,02-Aug-2021,11:00,60.75,38.75,30.65,976.7,274.75,67.03,198.53,0.0,7.67,18.8,11.1,42.9,4.63,0.83,15.7,,,0.0,,
"Rohini, Delhi - DPCC",02-Aug-2021,11:00,02-Aug-2021,12:00,46.0,26.0,31.38,976.65,335.33,64.82,345.12,0.0,0.6,8.7,8.1,55.7,4.9,0.0,10.57,,,0.62,,
"Rohini, Delhi - DPCC",02-Aug-2021,12:00,02-Aug-2021,13:00,54.75,32.0,33.05,976.12,768.3,59.52,266.95,0.0,0.85,8.33,7.5,48.3,4.55,0.8,13.85,,,0.47,,
"Rohini, Delhi - DPCC",02-Aug-2021,13:00,02-Aug-2021,14:00,42.5,23.0,32.23,975.47,391.23,62.17,96.65,0.5,1.18,7.72,6.6,43.5,3.6,0.9,5.58,,,0.3,,
"Rohini, Delhi - DPCC",02-Aug-2021,14:00,02-Aug-2021,15:00,37.25,24.25,28.82,974.9,89.65,80.25,177.75,0.0,1.45,10.1,8.62,42.08,3.07,0.93,4.88,,,0.43,,
"Rohini, Delhi - DPCC",02-Aug-2021,15:00,02-Aug-2021,16:00,39.25,24.0,27.47,974.53,93.25,82.8,150.93,1.5,4.4,17.2,12.8,40.08,3.15,0.97,5.3,,,0.9,,
"Rohini, Delhi - DPCC",02-Aug-2021,16:00,02-Aug-2021,17:00,33.0,16.0,28.25,974.15,80.22,83.67,301.52,0.0,5.6,21.62,16.0,38.15,3.07,1.12,3.9,,,1.43,,
"Rohini, Delhi - DPCC",02-Aug-2021,17:00,02-Aug-2021,18:00,52.25,27.0,28.52,974.15,63.42,79.38,253.65,0.0,4.0,13.57,9.87,37.75,3.1,1.1,8.18,,,1.35,,
"Rohini, Delhi - DPCC",02-Aug-2021,18:00,02-Aug-2021,19:00,41.0,23.5,28.62,974.4,31.92,77.3,171.95,0.0,3.63,16.38,12.75,35.1,3.33,1.13,11.6,,,1.5,,
"Rohini, Delhi - DPCC",02-Aug-2021,19:00,02-Aug-2021,20:00,52.25,22.75,28.4,974.83,3.85,78.9,260.15,0.0,3.95,19.83,15.88,41.1,2.92,1.33,36.45,,,1.8,,
"Rohini, Delhi - DPCC",02-Aug-2021,20:00,02-Aug-2021,21:00,59.5,29.0,28.68,975.62,3.22,78.78,91.67,0.0,5.08,22.33,17.3,46.85,3.38,1.48,6.7,,,2.15,,
"Rohini, Delhi - DPCC",02-Aug-2021,21:00,02-Aug-2021,22:00,62.5,39.25,28.77,976.35,3.4,77.85,104.05,0.0,5.03,19.82,14.8,49.17,3.78,1.42,6.15,,,2.1,,
"Rohini, Delhi - DPCC",02-Aug-2021,22:00,02-Aug-2021,23:00,69.0,36.5,28.85,976.45,3.3,78.28,270.8,0.0,4.85,20.12,15.3,53.12,3.8,1.4,5.62,,,1.5,,
"Rohini, Delhi - DPCC",02-Aug-2021,23:00,03-Aug-2021,00:00,78.5,46.25,28.5,976.2,3.58,79.82,49.97,0.0,7.07,22.67,15.6,55.33,3.95,1.35,6.22,,,1.12,,
"Rohini, Delhi - DPCC",03-Aug-2021,00:00,03-Aug-2021,01:00,86.75,51.25,28.12,976.1,3.08,81.83,242.53,0.0,8.25,23.57,15.32,56.1,3.83,1.27,9.72,,,0.78,,
"Rohini, Delhi - DPCC",03-Aug-2021,01:00,03-Aug-2021,02:00,78.5,44.25,28.12,976.05,3.25,82.28,173.75,0.0,6.75,19.27,12.53,55.18,3.92,1.1,48.2,,,0.57,,
"Rohini, Delhi - DPCC",03-Aug-2021,02:00,03-Aug-2021,03:00,72.5,39.75,28.15,975.7,3.67,81.7,40.62,0.0,4.4,14.5,10.1,71.0,3.7,1.1,9.8,,,0.58,,
"Rohini, Delhi - DPCC",03-Aug-2021,03:00,03-Aug-2021,04:00,65.25,38.75,28.1,975.8,3.83,81.2,34.42,0.0,4.22,14.07,9.85,59.2,3.68,1.0,5.55,,,0.55,,
"Rohini, Delhi - DPCC",03-Aug-2021,04:00,03-Aug-2021,05:00,56.5,29.25,27.97,975.97,3.7,81.45,23.82,0.0,4.32,13.67,9.38,54.08,3.5,1.0,5.58,,,0.68,,
"Rohini, Delhi - DPCC",03-Aug-2021,05:00,03-Aug-2021,06:00,57.25,31.25,27.6,976.5,4.95,82.67,341.07,0.0,4.53,13.35,8.85,52.9,3.35,1.0,13.68,,,0.43,,
"Rohini, Delhi - DPCC",03-Aug-2021,06:00,03-Aug-2021,07:00,66.25,36.0,27.62,976.98,25.48,82.65,262.57,0.0,5.67,16.38,10.67,53.45,3.58,1.0,70.27,,,0.4,,
"Rohini, Delhi - DPCC",03-Aug-2021,07:00,03-Aug-2021,08:00,69.0,37.5,28.8,977.07,133.32,78.12,20.5,0.0,6.48,15.82,9.35,53.55,4.18,1.1,7.33,,,0.38,,
"Rohini, Delhi - DPCC",03-Aug-2021,08:00,03-Aug-2021,09:00,55.75,32.25,29.8,977.22,275.55,72.15,57.5,0.0,4.17,11.1,6.92,52.53,4.25,1.0,6.1,,,0.3,,
"Rohini, Delhi - DPCC",03-Aug-2021,09:00,03-Aug-2021,10:00,53.25,31.25,30.85,977.2,437.25,68.38,60.83,0.0,3.55,10.57,7.03,53.97,4.1,0.9,7.12,,,0.28,,
"Rohini, Delhi - DPCC",03-Aug-2021,10:00,03-Aug-2021,11:00,56.75,33.0,31.53,977.62,452.62,65.4,26.32,0.0,2.77,9.82,7.05,55.05,3.77,0.9,7.85,,,0.35,,
"Rohini, Delhi - DPCC",03-Aug-2021,11:00,03-Aug-2021,12:00,55.25,25.75,32.5,977.4,687.03,61.07,18.12,0.0,2.53,9.18,6.65,55.32,3.65,0.9,9.35,,,0.4,,
"Rohini, Delhi - DPCC",03-Aug-2021,12:00,03-Aug-2021,13:00,51.75,21.5,33.15,976.8,694.1,59.25,24.02,0.0,2.5,9.22,6.68,53.78,3.47,0.9,9.97,,,0.35,,
"Rohini, Delhi - DPCC",03-Aug-2021,13:00,03-Aug-2021,14:00,45.5,19.5,34.02,976.4,675.42,56.8,41.0,0.0,2.9,9.3,6.38,49.73,3.2,0.9,8.85,,,0.45,,
"Rohini, Delhi - DPCC",03-Aug-2021,14:00,03-Aug-2021,15:00,38.0,17.5,34.33,975.72,560.9,55.92,56.87,0.0,3.03,10.05,7.08,47.62,3.2,0.88,8.8,,,0.3,,
"Rohini, Delhi - DPCC",03-Aug-2021,15:00,03-Aug-2021,16:00,35.25,14.25,34.67,974.8,565.05,55.8,61.45,0.0,2.55,9.62,7.08,45.0,3.35,0.85,10.5,,,0.27,,
"Rohini, Delhi - DPCC",03-Aug-2021,16:00,03-Aug-2021,17:00,28.5,8.5,34.58,974.58,381.85,55.75,43.88,0.0,2.78,9.78,7.0,43.62,3.13,0.8,10.53,,,0.25,,
"Rohini, Delhi - DPCC",03-Aug-2021,17:00,03-Aug-2021,18:00,33.75,8.25,32.55,974.48,114.4,60.6,69.12,0.0,2.23,10.75,8.57,43.68,3.25,0.9,9.8,,,0.38,,
"Rohini, Delhi - DPCC",03-Aug-2021,18:00,03-Aug-2021,19:00,37.5,13.0,30.4,974.85,30.67,70.2,71.82,0.0,2.75,16.12,13.33,42.95,3.2,0.93,6.0,,,0.5,,
"Rohini, Delhi - DPCC",03-Aug-2021,19:00,03-Aug-2021,20:00,54.0,20.75,29.77,975.3,4.25,72.12,92.35,0.0,8.93,35.38,26.3,43.2,4.65,1.4,6.4,,,1.85,,
"Rohini, Delhi - DPCC",03-Aug-2021,20:00,03-Aug-2021,21:00,95.75,35.25,29.62,976.32,3.67,72.6,118.08,0.0,30.67,57.0,26.27,40.15,4.38,1.7,7.95,,,2.98,,
"Rohini, Delhi - DPCC",03-Aug-2021,21:00,03-Aug-2021,22:00,106.75,31.75,29.52,976.75,3.75,72.55,91.05,0.0,24.9,48.8,23.92,41.8,4.08,1.7,9.6,,,3.12,,
"Rohini, Delhi - DPCC",03-Aug-2021,22:00,03-Aug-2021,23:00,90.25,23.25,29.75,977.1,3.8,71.42,68.4,0.0,16.85,35.75,18.88,45.45,5.5,1.6,20.43,1.1,10.7,2.6,,
"Rohini, Delhi - DPCC",03-Aug-2021,23:00,04-Aug-2021,00:00,94.75,33.25,29.7,977.17,3.8,71.38,56.88,0.0,9.12,27.9,18.8,46.83,4.32,1.3,5.92,,,1.53,,
"Rohini, Delhi - DPCC",04-Aug-2021,00:00,04-Aug-2021,01:00,91.0,29.25,29.18,977.12,3.4,75.35,174.43,0.0,6.85,23.4,16.53,48.2,3.52,1.1,41.88,,,0.88,,
"Rohini, Delhi - DPCC",04-Aug-2021,01:00,04-Aug-2021,02:00,95.75,42.75,28.62,976.95,3.62,76.72,17.57,0.0,5.65,17.9,12.23,48.65,4.9,1.02,3.4,,,0.53,,
"Rohini, Delhi - DPCC",04-Aug-2021,02:00,04-Aug-2021,03:00,79.5,41.25,28.38,976.75,3.7,77.38,26.0,0.0,3.7,13.3,9.7,56.1,4.3,1.0,5.08,,,0.47,,
"Rohini, Delhi - DPCC",04-Aug-2021,03:00,04-Aug-2021,04:00,67.75,30.25,28.0,976.88,3.67,79.25,109.08,0.0,3.55,14.9,11.35,49.95,3.9,1.0,5.4,,,0.4,,
"Rohini, Delhi - DPCC",04-Aug-2021,04:00,04-Aug-2021,05:00,66.25,32.0,27.6,976.92,3.55,81.58,100.53,0.0,4.67,15.25,10.6,46.18,3.77,0.97,5.5,,,0.3,,
"Rohini, Delhi - DPCC",04-Aug-2021,05:00,04-Aug-2021,06:00,70.25,34.0,27.32,976.9,5.35,82.78,42.3,0.0,4.75,15.73,10.98,42.58,3.58,0.9,5.5,,,0.3,,
"Rohini, Delhi - DPCC",04-Aug-2021,06:00,04-Aug-2021,07:00,62.0,30.25,27.6,977.22,36.45,79.62,45.52,0.0,4.6,14.0,9.45,43.77,3.6,0.93,7.2,,,0.3,,
"Rohini, Delhi - DPCC",04-Aug-2021,07:00,04-Aug-2021,08:00,62.0,28.0,28.5,977.5,135.1,73.1,63.85,0.0,5.57,14.63,9.03,45.12,5.35,1.0,7.05,,,0.3,,
"Rohini, Delhi - DPCC",04-Aug-2021,08:00,04-Aug-2021,09:00,58.25,27.25,29.55,977.95,412.95,67.33,63.35,0.0,4.78,13.47,8.7,48.2,6.6,1.0,6.47,,,0.27,,
"Rohini, Delhi - DPCC",04-Aug-2021,09:00,04-Aug-2021,10:00,45.75,22.0,30.52,978.35,526.3,64.78,36.35,0.0,3.48,10.93,7.45,49.5,5.08,0.9,5.72,,,0.2,,
"Rohini, Delhi - DPCC",04-Aug-2021,10:00,04-Aug-2021,11:00,41.5,13.25,31.15,978.55,534.35,63.42,58.55,0.0,2.17,9.12,6.97,48.27,3.87,0.9,6.15,,,0.2,,
"Rohini, Delhi - DPCC",04-Aug-2021,11:00,04-Aug-2021,12:00,41.5,15.25,32.23,978.42,637.35,59.65,65.9,0.0,2.25,9.4,7.18,45.98,3.78,0.9,9.72,,,0.25,,
"Rohini, Delhi - DPCC",04-Aug-2021,12:00,04-Aug-2021,13:00,47.0,19.25,33.07,977.92,663.25,57.53,46.55,0.0,2.17,9.93,7.75,45.45,3.77,0.9,10.18,,,0.32,,
"Rohini, Delhi - DPCC",04-Aug-2021,13:00,04-Aug-2021,14:00,48.0,19.75,33.92,977.25,589.9,55.58,48.2,0.0,2.9,9.7,6.82,41.5,3.47,0.88,10.38,,,0.3,,
"Rohini, Delhi - DPCC",04-Aug-2021,14:00,04-Aug-2021,15:00,42.75,18.5,34.5,976.4,572.55,54.5,59.98,0.0,2.47,10.45,8.0,40.05,3.57,0.8,13.5,,,0.25,,
"Rohini, Delhi - DPCC",04-Aug-2021,15:00,04-Aug-2021,16:00,45.75,16.25,34.8,975.77,438.18,54.65,81.22,0.0,2.9,12.38,9.43,39.92,3.7,0.82,13.48,,,0.27,,
"Rohini, Delhi - DPCC",04-Aug-2021,16:00,04-Aug-2021,17:00,49.0,16.0,34.78,975.4,301.15,53.42,94.8,0.0,2.92,14.95,12.07,39.83,4.03,0.88,20.57,,,0.28,,
"Rohini, Delhi - DPCC",04-Aug-2021,17:00,04-Aug-2021,18:00,54.25,22.25,32.2,975.22,42.65,59.1,58.6,0.0,2.17,12.7,10.53,42.48,3.88,0.9,14.55,,,0.45,,
"Rohini, Delhi - DPCC",04-Aug-2021,18:00,04-Aug-2021,19:00,65.75,25.0,31.57,975.5,27.97,61.67,82.5,0.0,2.48,20.2,17.7,44.9,3.8,1.03,9.4,,,0.97,,
"Rohini, Delhi - DPCC",04-Aug-2021,19:00,04-Aug-2021,20:00,89.75,34.25,30.95,976.1,3.98,64.42,88.6,0.0,4.65,31.63,26.93,47.95,4.47,1.43,22.2,,,1.58,,
"Rohini, Delhi - DPCC",04-Aug-2021,20:00,04-Aug-2021,21:00,122.5,43.25,30.62,976.73,3.5,66.72,83.85,0.0,14.2,45.2,30.85,48.57,5.15,1.63,23.53,,,2.45,,
"Rohini, Delhi - DPCC",04-Aug-2021,21:00,04-Aug-2021,22:00,137.25,45.0,30.4,977.25,3.5,68.62,43.45,0.0,13.65,42.78,29.12,49.52,5.1,1.88,10.6,1.25,12.65,3.0,,
"Rohini, Delhi - DPCC",04-Aug-2021,22:00,04-Aug-2021,23:00,163.75,59.5,30.27,977.28,3.52,69.48,81.08,0.0,31.05,58.32,27.15,45.62,5.57,2.02,6.72,1.23,13.95,3.5,,
"Rohini, Delhi - DPCC",04-Aug-2021,23:00,05-Aug-2021,00:00,193.0,66.25,29.7,977.52,3.55,70.85,76.48,0.0,35.85,61.67,25.9,44.95,4.65,1.92,6.57,1.12,13.82,3.42,,
"Rohini, Delhi - DPCC",05-Aug-2021,00:00,05-Aug-2021,01:00,157.25,66.25,29.7,977.35,3.57,71.1,65.35,0.0,26.45,51.98,25.52,49.0,4.2,1.8,6.38,2.77,10.32,2.3,,
"Rohini, Delhi - DPCC",05-Aug-2021,01:00,05-Aug-2021,02:00,153.25,69.25,29.73,976.98,3.4,71.85,186.32,0.0,15.97,36.18,20.12,51.03,4.22,1.35,2.6,2.47,8.93,1.6,,
"Rohini, Delhi - DPCC",05-Aug-2021,02:00,05-Aug-2021,03:00,127.0,55.5,29.55,976.8,3.6,72.78,15.47,0.0,5.4,17.1,11.7,58.8,6.5,1.1,4.9,,,0.78,,
"Rohini, Delhi - DPCC",05-Aug-2021,03:00,05-Aug-2021,04:00,90.5,47.0,28.9,976.62,3.55,76.0,51.95,0.0,5.1,18.3,13.25,52.5,5.3,1.1,5.33,1.37,8.7,0.67,,
"Rohini, Delhi - DPCC",05-Aug-2021,04:00,05-Aug-2021,05:00,87.75,40.75,28.38,976.75,3.65,78.82,51.2,0.0,6.08,20.07,13.98,47.45,3.73,1.02,5.25,,,0.5,,
"Rohini, Delhi - DPCC",05-Aug-2021,05:00,05-Aug-2021,06:00,96.0,40.75,28.25,976.98,4.88,79.67,71.4,0.0,8.95,23.12,14.23,46.4,4.62,1.08,5.8,,,0.6,,
"Rohini, Delhi - DPCC",05-Aug-2021,06:00,05-Aug-2021,07:00,132.5,69.5,28.28,977.3,34.2,80.4,89.78,0.0,15.22,29.73,14.5,47.03,5.7,1.1,24.48,,,0.67,,
"Rohini, Delhi - DPCC",05-Aug-2021,07:00,05-Aug-2021,08:00,135.25,69.5,29.43,977.7,97.12,75.68,89.17,0.0,18.27,36.38,18.05,49.6,7.53,1.3,43.97,1.3,7.3,0.85,,
"Rohini, Delhi - DPCC",05-Aug-2021,08:00,05-Aug-2021,09:00,130.0,68.5,29.58,977.98,120.95,73.45,106.78,0.0,14.35,33.15,18.77,48.83,6.9,1.3,13.02,,,0.7,,
