AQ_113_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Shadipur, Delhi - CPCB",01-Aug-2021,00:00,01-Aug-2021,01:00,173.43,72.81,,,6.9,83.33,158.31,,3.12,13.7,21.25,43.98,4.9,3.41,1.42,3.71,9.91,,2.5,3.71
"Shadipur, Delhi - CPCB",01-Aug-2021,01:00,01-Aug-2021,02:00,169.16,47.17,,,6.95,84.97,136.59,,8.05,18.13,23.42,44.02,5.35,3.38,0.47,3.77,9.76,,2.56,3.84
"Shadipur, Delhi - CPCB",01-Aug-2021,02:00,01-Aug-2021,03:00,161.14,35.54,,,6.88,85.91,152.21,,4.2,16.47,24.97,44.01,5.57,3.39,3.1,3.96,9.83,,2.63,3.73
"Shadipur, Delhi - CPCB",01-Aug-2021,03:00,01-Aug-2021,04:00,170.06,23.16,,,6.85,85.7,221.85,,4.38,16.42,24.33,43.99,4.43,2.39,4.98,3.79,9.85,,2.44,3.79
"Shadipur, Delhi - CPCB",01-Aug-2021,04:00,01-Aug-2021,05:00,149.42,25.42,,,6.9,86.24,202.94,,4.17,14.61,21.74,43.96,3.85,1.26,5.03,3.7,9.81,,2.59,3.79
"Shadipur, Delhi - CPCB",01-Aug-2021,05:00,01-Aug-2021,06:00,120.66,44.59,,,5.68,87.98,63.91,,3.59,14.53,21.98,43.98,3.7,1.13,6.58,3.77,9.77,,2.51,3.82
"Shadipur, Delhi - CPCB",01-Aug-2021,06:00,01-Aug-2021,07:00,103.91,33.29,,,8.28,92.55,158.45,,4.23,15.21,22.3,43.96,3.45,1.06,16.64,3.79,9.76,,2.53,3.77
"Shadipur, Delhi - CPCB",01-Aug-2021,07:00,01-Aug-2021,08:00,70.78,24.77,,,8.97,93.99,127.53,,4.08,14.85,21.84,43.96,5.33,1.1,13.31,3.92,9.72,,2.6,3.76
"Shadipur, Delhi - CPCB",01-Aug-2021,08:00,01-Aug-2021,09:00,46.24,21.8,,,15.07,94.9,21.24,,4.12,14.7,21.5,41.21,5.7,0.39,5.05,3.1,7.11,,1.75,2.74
"Shadipur, Delhi - CPCB",01-Aug-2021,09:00,01-Aug-2021,10:00,36.73,27.8,,,60.48,95.79,90.76,,5.39,15.6,21.97,37.99,5.75,0.15,2.9,2.3,3.87,,0.79,1.4
"Shadipur, Delhi - CPCB",01-Aug-2021,10:00,01-Aug-2021,11:00,38.08,24.48,,,171.45,95.72,175.61,,2.77,12.72,22.03,38.01,4.05,1.99,8.88,2.35,3.88,,0.77,1.42
"Shadipur, Delhi - CPCB",01-Aug-2021,11:00,01-Aug-2021,12:00,42.13,22.65,,,443.85,93.85,245.07,,2.66,13.87,23.34,38.0,5.5,2.2,8.66,2.26,3.92,,0.8,1.42
"Shadipur, Delhi - CPCB",01-Aug-2021,12:00,01-Aug-2021,13:00,47.99,19.86,,,459.15,85.15,261.01,,4.23,15.33,22.57,38.01,5.62,2.4,18.53,2.3,3.91,,0.77,1.43
"Shadipur, Delhi - CPCB",01-Aug-2021,13:00,01-Aug-2021,14:00,61.4,19.93,,,223.95,77.11,207.48,,3.45,14.49,22.22,38.0,5.4,2.25,19.83,2.28,3.85,,0.8,1.45
"Shadipur, Delhi - CPCB",01-Aug-2021,14:00,01-Aug-2021,15:00,71.62,18.04,,,248.8,74.83,261.91,,3.6,14.57,21.99,37.98,5.22,1.07,25.42,2.28,3.88,,0.81,1.35
"Shadipur, Delhi - CPCB",01-Aug-2021,15:00,01-Aug-2021,16:00,81.87,13.81,,,185.55,74.06,170.76,,3.65,15.02,22.77,37.99,4.17,0.63,21.88,2.31,3.86,,0.8,1.44
"Shadipur, Delhi - CPCB",01-Aug-2021,16:00,01-Aug-2021,17:00,84.09,18.2,,,149.5,71.47,256.46,,4.17,14.52,21.05,37.98,4.3,0.49,26.12,2.31,3.88,,0.8,1.36
"Shadipur, Delhi - CPCB",01-Aug-2021,17:00,01-Aug-2021,18:00,79.92,19.86,,,82.75,69.11,97.68,,7.24,18.39,23.8,37.99,4.92,0.13,7.39,2.31,3.88,,0.8,1.35
"Shadipur, Delhi - CPCB",01-Aug-2021,18:00,01-Aug-2021,19:00,69.51,33.79,,,27.85,70.61,105.07,,8.22,19.1,23.85,38.01,3.08,1.21,26.4,2.29,3.9,,0.79,1.41
"Shadipur, Delhi - CPCB",01-Aug-2021,19:00,01-Aug-2021,20:00,73.02,53.91,,,8.95,76.45,111.47,,5.96,15.86,26.14,38.06,2.27,2.68,29.66,2.33,3.9,,0.79,1.44
"Shadipur, Delhi - CPCB",01-Aug-2021,20:00,01-Aug-2021,21:00,93.33,35.61,,,9.0,81.63,96.62,,1.23,10.88,22.8,39.39,4.5,4.31,19.69,2.44,5.05,,0.94,1.54
"Shadipur, Delhi - CPCB",01-Aug-2021,21:00,01-Aug-2021,22:00,108.34,23.12,,,8.95,82.63,123.91,,4.26,14.85,21.94,44.0,8.1,4.24,1.58,3.45,11.67,,1.8,2.48
"Shadipur, Delhi - CPCB",01-Aug-2021,22:00,01-Aug-2021,23:00,108.28,17.98,,,8.9,80.88,118.9,,3.22,14.81,23.14,43.96,7.82,2.42,3.42,3.46,11.64,,1.85,2.53
"Shadipur, Delhi - CPCB",01-Aug-2021,23:00,02-Aug-2021,00:00,107.38,17.06,,,8.9,80.55,127.58,,3.14,14.37,22.31,43.96,4.15,2.62,1.66,3.54,11.72,,1.79,2.56
"Shadipur, Delhi - CPCB",02-Aug-2021,00:00,02-Aug-2021,01:00,115.64,19.96,,,8.83,84.29,143.22,,4.21,14.58,21.33,44.01,4.83,3.26,0.41,3.49,11.76,,1.91,2.44
"Shadipur, Delhi - CPCB",02-Aug-2021,01:00,02-Aug-2021,02:00,117.9,35.16,,,8.88,86.6,137.38,,4.93,15.51,21.75,43.97,4.75,2.84,9.43,3.49,11.71,,1.81,2.5
"Shadipur, Delhi - CPCB",02-Aug-2021,02:00,02-Aug-2021,03:00,114.42,51.41,,,8.97,87.73,150.46,,4.66,15.57,22.26,43.97,5.1,2.77,13.3,3.54,11.77,,1.78,2.48
"Shadipur, Delhi - CPCB",02-Aug-2021,03:00,02-Aug-2021,04:00,123.48,60.57,,,8.97,88.39,119.84,,4.21,15.44,22.69,43.96,5.13,2.78,14.46,3.5,11.69,,1.76,2.53
"Shadipur, Delhi - CPCB",02-Aug-2021,04:00,02-Aug-2021,05:00,129.24,36.2,,,8.9,87.31,78.79,,3.03,14.42,22.71,43.98,4.98,2.33,23.88,3.48,11.69,,1.86,2.57
"Shadipur, Delhi - CPCB",02-Aug-2021,05:00,02-Aug-2021,06:00,119.6,28.08,,,9.57,87.17,128.96,,4.48,15.18,21.82,43.99,5.23,2.15,40.3,3.51,11.8,,1.8,2.53
"Shadipur, Delhi - CPCB",02-Aug-2021,06:00,02-Aug-2021,07:00,127.19,53.16,,,19.43,88.13,113.7,,3.47,14.29,21.65,42.95,5.1,2.74,34.77,3.43,11.71,,1.83,2.46
"Shadipur, Delhi - CPCB",02-Aug-2021,07:00,02-Aug-2021,08:00,130.26,41.42,,,65.88,88.89,151.82,,3.25,14.25,21.93,37.99,4.6,2.19,24.63,3.54,11.79,,1.82,2.52
"Shadipur, Delhi - CPCB",02-Aug-2021,08:00,02-Aug-2021,09:00,127.29,41.26,,,149.4,87.74,144.59,,4.54,15.21,21.77,37.95,4.12,1.0,19.25,3.5,11.73,,1.84,2.46
"Shadipur, Delhi - CPCB",02-Aug-2021,09:00,02-Aug-2021,10:00,119.27,62.69,,,117.3,84.67,116.24,,6.96,17.55,22.7,37.96,4.67,0.1,5.98,3.48,11.75,,1.79,2.48
"Shadipur, Delhi - CPCB",02-Aug-2021,10:00,02-Aug-2021,11:00,94.26,36.37,,,251.85,76.8,63.48,,5.21,16.54,24.04,35.38,2.7,0.11,11.59,4.33,15.17,,6.02,2.92
"Shadipur, Delhi - CPCB",02-Aug-2021,11:00,02-Aug-2021,12:00,81.73,25.91,,,262.88,71.02,50.54,,5.35,16.09,22.66,34.03,4.77,0.11,5.17,4.36,15.22,,6.04,2.84
"Shadipur, Delhi - CPCB",02-Aug-2021,12:00,02-Aug-2021,13:00,90.12,20.12,,,566.98,66.9,39.45,,2.42,13.2,22.02,34.02,5.45,0.13,8.57,4.27,15.17,,6.02,2.86
"Shadipur, Delhi - CPCB",02-Aug-2021,13:00,02-Aug-2021,14:00,91.75,15.53,,,148.78,71.07,130.86,,3.57,14.42,21.91,33.97,5.53,0.12,7.62,3.52,12.23,,5.0,2.54
"Shadipur, Delhi - CPCB",02-Aug-2021,14:00,02-Aug-2021,15:00,70.8,12.37,,,188.55,85.17,315.29,,6.66,17.13,22.24,34.0,5.82,0.45,1.74,1.5,4.0,,2.08,1.51
"Shadipur, Delhi - CPCB",02-Aug-2021,15:00,02-Aug-2021,16:00,63.15,22.74,,,91.38,84.85,112.57,,3.87,14.61,22.62,34.04,4.2,0.79,4.48,1.49,4.0,,2.09,1.5
"Shadipur, Delhi - CPCB",02-Aug-2021,16:00,02-Aug-2021,17:00,53.39,17.87,,,88.17,85.21,24.74,,3.05,13.89,21.85,34.01,6.07,0.92,3.51,1.5,3.99,,2.1,1.49
"Shadipur, Delhi - CPCB",02-Aug-2021,17:00,02-Aug-2021,18:00,63.27,20.76,,,54.18,83.57,198.03,,6.15,17.69,24.19,34.02,6.02,0.19,10.94,1.51,3.99,,2.11,1.49
"Shadipur, Delhi - CPCB",02-Aug-2021,18:00,02-Aug-2021,19:00,66.57,61.88,,,22.8,83.01,31.61,,3.02,13.96,23.33,34.09,2.95,2.24,26.92,1.5,4.0,,2.1,1.5
"Shadipur, Delhi - CPCB",02-Aug-2021,19:00,02-Aug-2021,20:00,57.72,36.89,,,7.18,83.35,44.19,,3.22,14.03,22.07,34.03,5.37,2.65,1.4,1.49,4.02,,2.09,1.48
"Shadipur, Delhi - CPCB",02-Aug-2021,20:00,02-Aug-2021,21:00,60.19,34.6,,,6.47,84.94,35.15,,2.64,13.6,22.15,34.02,5.78,3.3,3.0,1.59,4.36,,2.19,1.51
"Shadipur, Delhi - CPCB",02-Aug-2021,21:00,02-Aug-2021,22:00,67.53,30.92,,,6.4,84.94,29.8,,3.52,14.24,21.49,36.69,5.9,3.28,2.85,3.5,14.52,,6.41,2.41
"Shadipur, Delhi - CPCB",02-Aug-2021,22:00,02-Aug-2021,23:00,66.29,30.2,,,6.75,85.09,42.45,,4.15,14.81,21.6,37.99,6.1,1.45,10.77,3.5,14.52,,6.41,2.41
"Shadipur, Delhi - CPCB",02-Aug-2021,23:00,03-Aug-2021,00:00,72.66,23.26,,,6.67,86.17,60.63,,4.72,15.19,21.49,37.98,0.6,2.72,15.33,3.48,14.51,,6.39,2.44
"Shadipur, Delhi - CPCB",03-Aug-2021,00:00,03-Aug-2021,01:00,78.38,23.51,,,6.85,87.44,41.03,,4.59,15.12,21.81,38.01,0.6,2.02,12.95,3.5,14.52,,6.39,2.4
"Shadipur, Delhi - CPCB",03-Aug-2021,01:00,03-Aug-2021,02:00,87.85,23.16,,,6.85,88.49,35.4,,4.43,14.91,21.38,37.99,0.6,1.66,16.43,3.52,14.46,,6.44,2.42
"Shadipur, Delhi - CPCB",03-Aug-2021,02:00,03-Aug-2021,03:00,91.85,19.8,,,6.95,89.35,39.36,,3.37,14.26,21.73,37.98,0.6,1.45,15.74,3.53,14.49,,6.38,2.41
"Shadipur, Delhi - CPCB",03-Aug-2021,03:00,03-Aug-2021,04:00,86.34,31.08,,,6.97,90.17,34.76,,5.03,15.47,21.71,37.98,4.73,1.22,9.98,3.49,14.5,,6.38,2.39
"Shadipur, Delhi - CPCB",03-Aug-2021,04:00,03-Aug-2021,05:00,80.92,23.74,,,6.85,90.47,27.6,,3.81,14.2,21.64,38.0,4.85,1.14,12.36,3.51,14.51,,6.39,2.41
"Shadipur, Delhi - CPCB",03-Aug-2021,05:00,03-Aug-2021,06:00,80.64,47.5,,,7.9,90.96,31.27,,5.29,15.29,20.8,37.99,4.72,1.04,12.27,3.5,14.51,,6.43,2.4
"Shadipur, Delhi - CPCB",03-Aug-2021,06:00,03-Aug-2021,07:00,80.8,33.3,,,27.72,91.67,23.06,,4.49,15.24,21.89,38.02,4.83,0.62,12.5,3.49,14.51,,6.42,2.4
"Shadipur, Delhi - CPCB",03-Aug-2021,07:00,03-Aug-2021,08:00,72.73,33.01,,,96.02,90.55,33.01,,6.66,17.79,23.5,38.0,4.4,0.11,2.77,3.47,14.51,,6.4,2.4
"Shadipur, Delhi - CPCB",03-Aug-2021,08:00,03-Aug-2021,09:00,71.46,27.48,,,217.88,83.11,85.01,,5.17,16.51,24.14,38.06,2.45,0.1,12.07,3.48,14.47,,6.4,2.41
"Shadipur, Delhi - CPCB",03-Aug-2021,09:00,03-Aug-2021,10:00,73.54,23.74,,,299.23,74.71,63.39,,2.56,12.54,21.86,35.24,0.98,0.11,30.2,2.26,6.68,,2.68,1.82
"Shadipur, Delhi - CPCB",03-Aug-2021,10:00,03-Aug-2021,11:00,78.72,19.86,,,381.92,70.65,37.58,,4.2,16.34,24.58,35.03,1.8,0.87,30.45,1.79,3.5,,1.12,1.58
"Shadipur, Delhi - CPCB",03-Aug-2021,11:00,03-Aug-2021,12:00,90.0,27.09,,,693.58,63.52,53.94,,3.13,14.92,24.05,35.64,4.57,1.07,28.34,1.8,3.49,,1.09,1.59
"Shadipur, Delhi - CPCB",03-Aug-2021,12:00,03-Aug-2021,13:00,79.58,27.72,,,565.28,59.24,70.48,,3.06,14.03,22.85,37.05,5.38,1.1,14.37,1.79,3.5,,1.1,1.57
"Shadipur, Delhi - CPCB",03-Aug-2021,13:00,03-Aug-2021,14:00,72.42,21.33,,,672.02,57.12,65.16,,9.11,20.39,24.75,34.32,4.95,0.69,23.37,1.78,3.49,,1.09,1.62
"Shadipur, Delhi - CPCB",03-Aug-2021,14:00,03-Aug-2021,15:00,67.84,21.19,,,425.6,57.98,89.46,,3.03,14.0,22.49,31.06,4.68,1.11,28.07,1.8,3.52,,1.09,1.59
"Shadipur, Delhi - CPCB",03-Aug-2021,15:00,03-Aug-2021,16:00,68.22,21.55,,,377.48,58.59,94.83,,4.3,14.8,22.26,31.07,5.0,1.52,12.7,1.83,3.48,,1.11,1.61
"Shadipur, Delhi - CPCB",03-Aug-2021,16:00,03-Aug-2021,17:00,64.05,19.39,,,104.88,59.38,109.68,,3.33,14.68,22.64,31.07,5.47,1.18,12.94,1.79,3.51,,1.11,1.6
