AQ_119_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Sirifort, Delhi - CPCB",01-Aug-2021,00:00,01-Aug-2021,01:00,132.0,76.75,,,9.16,67.26,293.11,0.0,,,,,,3.05,40.12,7.61,97.88,,,26.64
"Sirifort, Delhi - CPCB",01-Aug-2021,01:00,01-Aug-2021,02:00,130.5,41.0,,,9.22,67.31,153.63,0.0,,,,,,2.61,38.15,8.11,97.73,,,24.52
"Sirifort, Delhi - CPCB",01-Aug-2021,02:00,01-Aug-2021,03:00,102.0,40.75,,,9.67,67.37,265.46,0.0,,,,,,2.21,38.02,7.26,86.07,,,21.81
"Sirifort, Delhi - CPCB",01-Aug-2021,03:00,01-Aug-2021,04:00,102.25,37.25,,,9.8,67.38,251.54,0.0,,,,,,1.25,37.03,6.21,75.24,,,21.33
"Sirifort, Delhi - CPCB",01-Aug-2021,04:00,01-Aug-2021,05:00,103.5,40.5,,,10.33,67.37,167.15,0.0,,,,,,0.61,41.12,3.09,45.26,,,20.25
"Sirifort, Delhi - CPCB",01-Aug-2021,05:00,01-Aug-2021,06:00,48.5,23.0,,,11.98,67.45,190.1,0.0,,,,,,0.36,39.6,2.09,35.95,,,17.17
"Sirifort, Delhi - CPCB",01-Aug-2021,06:00,01-Aug-2021,07:00,,,,,10.72,67.36,237.24,0.0,,,,,,0.27,38.55,1.66,27.93,,,11.31
"Sirifort, Delhi - CPCB",01-Aug-2021,07:00,01-Aug-2021,08:00,12.0,4.0,,,11.77,67.42,27.7,0.0,,,,,,0.22,38.9,1.07,16.91,,,5.16
"Sirifort, Delhi - CPCB",01-Aug-2021,08:00,01-Aug-2021,09:00,8.0,3.75,,,15.44,67.71,91.83,0.0,,,,,,0.26,37.25,1.24,21.0,,,5.31
"Sirifort, Delhi - CPCB",01-Aug-2021,09:00,01-Aug-2021,10:00,8.25,,,,31.33,68.73,33.74,0.0,,,,,,0.4,37.48,1.19,23.79,,,5.08
