AQ_1432_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Sonia Vihar, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,465.0,91.75,32.5,977.88,6.03,88.25,69.0,0.0,84.4,78.42,18.02,55.33,9.03,3.07,14.45,1.1,13.43,5.28,,
"Sonia Vihar, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,238.0,83.5,32.52,977.45,5.85,88.33,69.7,0.0,80.92,75.15,17.3,47.98,9.05,2.2,41.1,0.97,10.43,3.65,,
"Sonia Vihar, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,141.0,75.0,32.27,977.3,5.83,89.32,69.8,0.0,29.4,33.8,17.6,49.1,6.0,1.1,35.85,0.82,8.27,2.55,,
"Sonia Vihar, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,105.25,59.0,32.2,976.98,5.8,88.8,66.67,0.0,18.15,24.7,18.65,35.4,6.3,0.9,21.8,0.45,4.47,1.07,,
"Sonia Vihar, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,80.25,44.75,32.4,976.83,5.82,85.5,259.95,0.0,8.8,16.68,17.9,29.23,6.35,0.47,17.43,0.33,3.12,0.62,,
"Sonia Vihar, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,44.5,29.75,31.07,977.35,5.9,86.03,258.82,5.53,4.62,5.92,4.05,22.43,6.03,0.2,15.9,0.15,1.9,0.27,,
"Sonia Vihar, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,7.0,5.0,30.38,978.55,6.33,89.7,254.35,17.0,5.7,6.3,3.12,23.8,6.22,0.2,,0.05,0.68,0.05,,
"Sonia Vihar, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,,5.0,30.35,979.05,7.5,90.5,284.68,12.32,6.98,8.68,5.62,46.02,6.23,0.53,8.83,0.45,1.8,0.17,,
"Sonia Vihar, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,,5.0,30.35,978.93,13.88,90.43,251.85,3.03,6.3,7.75,4.95,46.85,6.32,0.6,30.3,0.57,2.25,0.25,,
"Sonia Vihar, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,,5.0,30.73,978.47,58.9,90.38,224.23,1.02,12.23,14.9,9.3,47.33,6.55,0.85,17.8,0.5,1.68,0.17,,
